"Month","Country","HBT","TreatmentLocation","DepartmentType","NumberOfAttendancesAll","NumberWithin4HoursAll","NumberOver4HoursAll","PercentageWithin4HoursAll","NumberOfAttendancesEpisode","NumberOfAttendancesEpisodeQF","NumberWithin4HoursEpisode","NumberWithin4HoursEpisodeQF","NumberOver4HoursEpisode","NumberOver4HoursEpisodeQF","PercentageWithin4HoursEpisode","PercentageWithin4HoursEpisodeQF","NumberOver8HoursEpisode","NumberOver8HoursEpisodeQF","PercentageOver8HoursEpisode","PercentageOver8HoursEpisodeQF","NumberOver12HoursEpisode","NumberOver12HoursEpisodeQF","PercentageOver12HoursEpisode","PercentageOver12HoursEpisodeQF"
"200707","S92000003","S08000015","A101H","Minor Injury Unit or Other",252,252,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000015","A111H","Emergency Department",5414,5290,124,97.7,5414,"",5290,"",124,"",97.7,"",26,"",0.5,"",24,"",0.4,""
"200707","S92000003","S08000015","A207H","Minor Injury Unit or Other",92,92,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000015","A210H","Emergency Department",3530,3355,175,95,3530,"",3355,"",175,"",95,"",3,"",0.1,"",1,"",0,""
"200707","S92000003","S08000016","B103H","Minor Injury Unit or Other",20,20,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000016","B105H","Minor Injury Unit or Other",105,105,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000016","B114H","Minor Injury Unit or Other",31,31,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000016","B118H","Minor Injury Unit or Other",87,87,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
"200707","S92000003","S08000016","B120H","Emergency Department",1823,1804,19,99,1823,"",1804,"",19,"",99,"",0,"",0,"",0,"",0,""
"200707","S92000003","S08000017","Y101H","Minor Injury Unit or Other",86,86,0,100,,"z",,"z",,"z",,"z",,"z",,"z",,"z",,"z"
