"","X","month","month_label","season","year","right_season","hbt","number_of_attendances_all"
"1",1,200707,"July","summer",2007,TRUE,"S08000015",252
"2",2,200707,"July","summer",2007,TRUE,"S08000015",5414
"3",3,200707,"July","summer",2007,TRUE,"S08000015",92
"4",4,200707,"July","summer",2007,TRUE,"S08000015",3530
"5",5,200707,"July","summer",2007,TRUE,"S08000016",20
"6",6,200707,"July","summer",2007,TRUE,"S08000016",105
"7",7,200707,"July","summer",2007,TRUE,"S08000016",31
"8",8,200707,"July","summer",2007,TRUE,"S08000016",87
"9",9,200707,"July","summer",2007,TRUE,"S08000016",1823
"10",10,200707,"July","summer",2007,TRUE,"S08000017",86
"11",11,200707,"July","summer",2007,TRUE,"S08000017",83
"12",12,200707,"July","summer",2007,TRUE,"S08000017",7
"13",13,200707,"July","summer",2007,TRUE,"S08000017",85
"14",14,200707,"July","summer",2007,TRUE,"S08000017",1189
"15",15,200707,"July","summer",2007,TRUE,"S08000017",2970
"16",16,200707,"July","summer",2007,TRUE,"S08000029",3912
"17",17,200707,"July","summer",2007,TRUE,"S08000029",174
"18",18,200707,"July","summer",2007,TRUE,"S08000029",282
"19",19,200707,"July","summer",2007,TRUE,"S08000029",3638
"20",20,200707,"July","summer",2007,TRUE,"S08000019",1772
"21",21,200707,"July","summer",2007,TRUE,"S08000019",4195
"22",22,200707,"July","summer",2007,TRUE,"S08000020",5312
"23",23,200707,"July","summer",2007,TRUE,"S08000020",1333
"24",24,200707,"July","summer",2007,TRUE,"S08000020",72
"25",25,200707,"July","summer",2007,TRUE,"S08000020",40
"26",26,200707,"July","summer",2007,TRUE,"S08000020",62
"27",27,200707,"July","summer",2007,TRUE,"S08000020",1114
"28",28,200707,"July","summer",2007,TRUE,"S08000020",904
"29",29,200707,"July","summer",2007,TRUE,"S08000020",279
"30",30,200707,"July","summer",2007,TRUE,"S08000020",178
"31",31,200707,"July","summer",2007,TRUE,"S08000020",359
"32",32,200707,"July","summer",2007,TRUE,"S08000020",1925
"33",33,200707,"July","summer",2007,TRUE,"S08000020",107
"34",34,200707,"July","summer",2007,TRUE,"S08000020",37
"35",35,200707,"July","summer",2007,TRUE,"S08000020",113
"36",36,200707,"July","summer",2007,TRUE,"S08000020",62
"37",37,200707,"July","summer",2007,TRUE,"S08000020",32
"38",38,200707,"July","summer",2007,TRUE,"S08000020",153
"39",39,200707,"July","summer",2007,TRUE,"S08000031",1382
"40",40,200707,"July","summer",2007,TRUE,"S08000031",2693
"41",41,200707,"July","summer",2007,TRUE,"S08000031",5479
"42",42,200707,"July","summer",2007,TRUE,"S08000031",6200
"43",43,200707,"July","summer",2007,TRUE,"S08000031",3390
"44",44,200707,"July","summer",2007,TRUE,"S08000031",5864
"45",45,200707,"July","summer",2007,TRUE,"S08000031",4186
"46",46,200707,"July","summer",2007,TRUE,"S08000031",2981
"47",47,200707,"July","summer",2007,TRUE,"S08000031",5040
"48",48,200707,"July","summer",2007,TRUE,"S08000022",401
"49",49,200707,"July","summer",2007,TRUE,"S08000022",615
"50",50,200707,"July","summer",2007,TRUE,"S08000022",110
"51",51,200707,"July","summer",2007,TRUE,"S08000022",468
"52",52,200707,"July","summer",2007,TRUE,"S08000022",369
"53",53,200707,"July","summer",2007,TRUE,"S08000022",67
"54",54,200707,"July","summer",2007,TRUE,"S08000022",616
"55",55,200707,"July","summer",2007,TRUE,"S08000022",211
"56",56,200707,"July","summer",2007,TRUE,"S08000022",199
"57",57,200707,"July","summer",2007,TRUE,"S08000022",496
"58",58,200707,"July","summer",2007,TRUE,"S08000022",73
"59",59,200707,"July","summer",2007,TRUE,"S08000022",2618
"60",60,200707,"July","summer",2007,TRUE,"S08000022",281
"61",61,200707,"July","summer",2007,TRUE,"S08000022",113
"62",62,200707,"July","summer",2007,TRUE,"S08000022",896
"63",63,200707,"July","summer",2007,TRUE,"S08000022",300
"64",64,200707,"July","summer",2007,TRUE,"S08000022",153
"65",65,200707,"July","summer",2007,TRUE,"S08000022",185
"66",66,200707,"July","summer",2007,TRUE,"S08000022",91
"67",67,200707,"July","summer",2007,TRUE,"S08000022",202
"68",68,200707,"July","summer",2007,TRUE,"S08000032",5662
"69",69,200707,"July","summer",2007,TRUE,"S08000032",165
"70",70,200707,"July","summer",2007,TRUE,"S08000032",166
"71",71,200707,"July","summer",2007,TRUE,"S08000032",4545
"72",72,200707,"July","summer",2007,TRUE,"S08000032",5555
"73",73,200707,"July","summer",2007,TRUE,"S08000024",2761
"74",74,200707,"July","summer",2007,TRUE,"S08000024",3900
"75",75,200707,"July","summer",2007,TRUE,"S08000024",8947
"76",76,200707,"July","summer",2007,TRUE,"S08000024",2620
"77",77,200707,"July","summer",2007,TRUE,"S08000025",225
"78",78,200707,"July","summer",2007,TRUE,"S08000026",802
"79",79,200707,"July","summer",2007,TRUE,"S08000030",3940
"80",80,200707,"July","summer",2007,TRUE,"S08000030",2208
"81",81,200707,"July","summer",2007,TRUE,"S08000030",78
"82",82,200707,"July","summer",2007,TRUE,"S08000030",167
"83",83,200707,"July","summer",2007,TRUE,"S08000030",847
"84",84,200707,"July","summer",2007,TRUE,"S08000030",228
"85",85,200707,"July","summer",2007,TRUE,"S08000030",504
"86",86,200707,"July","summer",2007,TRUE,"S08000030",444
"87",87,200707,"July","summer",2007,TRUE,"S08000028",57
"88",88,200707,"July","summer",2007,TRUE,"S08000028",776
"89",89,200707,"July","summer",2007,TRUE,"S08000028",135
"90",90,200708,"August","summer",2007,TRUE,"S08000015",265
"91",91,200708,"August","summer",2007,TRUE,"S08000015",5655
"92",92,200708,"August","summer",2007,TRUE,"S08000015",86
"93",93,200708,"August","summer",2007,TRUE,"S08000015",3558
"94",94,200708,"August","summer",2007,TRUE,"S08000016",14
"95",95,200708,"August","summer",2007,TRUE,"S08000016",106
"96",96,200708,"August","summer",2007,TRUE,"S08000016",28
"97",97,200708,"August","summer",2007,TRUE,"S08000016",122
"98",98,200708,"August","summer",2007,TRUE,"S08000016",2005
