month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds,reason_for_delay
2016-07-01,S08000015,18plus,2574,83,All Delay Reasons
2016-07-01,S08000015,18plus,1976,64,Health and Social Care Reasons
2016-07-01,S08000015,18plus,0,0,Patient and Family Related Reasons
2016-07-01,S08000015,18plus,472,15,Code 9 AWI
2016-07-01,S08000015,18plus,126,4,Code 9 Non-AWI
2016-07-01,S08000015,18-74,355,11,All Delay Reasons
2016-07-01,S08000015,18-74,222,7,Health and Social Care Reasons
2016-07-01,S08000015,18-74,0,0,Patient and Family Related Reasons
2016-07-01,S08000015,18-74,124,4,Code 9 AWI
2016-07-01,S08000015,18-74,9,0,Code 9 Non-AWI
2016-07-01,S08000015,75plus,2219,72,All Delay Reasons
2016-07-01,S08000015,75plus,1754,57,Health and Social Care Reasons
2016-07-01,S08000015,75plus,0,0,Patient and Family Related Reasons
2016-07-01,S08000015,75plus,348,11,Code 9 AWI
2016-07-01,S08000015,75plus,117,4,Code 9 Non-AWI
2016-07-01,S08000016,18plus,790,25,All Delay Reasons
2016-07-01,S08000016,18plus,548,18,Health and Social Care Reasons
2016-07-01,S08000016,18plus,90,3,Patient and Family Related Reasons
2016-07-01,S08000016,18plus,75,2,Code 9 AWI
2016-07-01,S08000016,18plus,77,2,Code 9 Non-AWI
2016-07-01,S08000016,18-74,165,5,All Delay Reasons
2016-07-01,S08000016,18-74,77,2,Health and Social Care Reasons
2016-07-01,S08000016,18-74,25,1,Patient and Family Related Reasons
2016-07-01,S08000016,18-74,0,0,Code 9 AWI
2016-07-01,S08000016,18-74,63,2,Code 9 Non-AWI
2016-07-01,S08000016,75plus,625,20,All Delay Reasons
2016-07-01,S08000016,75plus,471,15,Health and Social Care Reasons
2016-07-01,S08000016,75plus,65,2,Patient and Family Related Reasons
2016-07-01,S08000016,75plus,75,2,Code 9 AWI
2016-07-01,S08000016,75plus,14,0,Code 9 Non-AWI
2016-07-01,S08000017,18plus,1065,34,All Delay Reasons
2016-07-01,S08000017,18plus,794,26,Health and Social Care Reasons
2016-07-01,S08000017,18plus,0,0,Patient and Family Related Reasons
2016-07-01,S08000017,18plus,271,9,Code 9 AWI
2016-07-01,S08000017,18plus,0,0,Code 9 Non-AWI
2016-07-01,S08000017,18-74,273,9,All Delay Reasons
2016-07-01,S08000017,18-74,216,7,Health and Social Care Reasons
2016-07-01,S08000017,18-74,0,0,Patient and Family Related Reasons
2016-07-01,S08000017,18-74,57,2,Code 9 AWI
2016-07-01,S08000017,18-74,0,0,Code 9 Non-AWI
2016-07-01,S08000017,75plus,792,26,All Delay Reasons
2016-07-01,S08000017,75plus,578,19,Health and Social Care Reasons
2016-07-01,S08000017,75plus,0,0,Patient and Family Related Reasons
2016-07-01,S08000017,75plus,214,7,Code 9 AWI
2016-07-01,S08000017,75plus,0,0,Code 9 Non-AWI
2016-07-01,S08000019,18plus,2472,80,All Delay Reasons
2016-07-01,S08000019,18plus,1662,54,Health and Social Care Reasons
2016-07-01,S08000019,18plus,179,6,Patient and Family Related Reasons
2016-07-01,S08000019,18plus,415,13,Code 9 AWI
2016-07-01,S08000019,18plus,216,7,Code 9 Non-AWI
2016-07-01,S08000019,18-74,942,30,All Delay Reasons
2016-07-01,S08000019,18-74,638,21,Health and Social Care Reasons
2016-07-01,S08000019,18-74,31,1,Patient and Family Related Reasons
2016-07-01,S08000019,18-74,93,3,Code 9 AWI
2016-07-01,S08000019,18-74,180,6,Code 9 Non-AWI
2016-07-01,S08000019,75plus,1530,49,All Delay Reasons
2016-07-01,S08000019,75plus,1024,33,Health and Social Care Reasons
2016-07-01,S08000019,75plus,148,5,Patient and Family Related Reasons
2016-07-01,S08000019,75plus,322,10,Code 9 AWI
2016-07-01,S08000019,75plus,36,1,Code 9 Non-AWI
2016-07-01,S08000020,18plus,5088,164,All Delay Reasons
2016-07-01,S08000020,18plus,4050,131,Health and Social Care Reasons
2016-07-01,S08000020,18plus,94,3,Patient and Family Related Reasons
2016-07-01,S08000020,18plus,730,24,Code 9 AWI
2016-07-01,S08000020,18plus,214,7,Code 9 Non-AWI
2016-07-01,S08000020,18-74,1429,46,All Delay Reasons
2016-07-01,S08000020,18-74,1045,34,Health and Social Care Reasons
2016-07-01,S08000020,18-74,40,1,Patient and Family Related Reasons
2016-07-01,S08000020,18-74,200,6,Code 9 AWI
