Location,LocationName,Postcode,AddressLine,HB,HSCP,HSCPQF,CA,CAQF,IntZone,IntZoneQF,DataZone,DataZoneQF,XCoordinate,YCoordinate,BasedOnPostcode,longitude,latitude,hbt,mean.x,mean.y,mean_diff
A101H,Arran War Memorial Hospital,KA27 8LF,"Lamlash, Isle of Arran",S08000015,S37000020,NA,S12000021,NA,S02002097,NA,S01011176,NA,203533,632121,NA,-5.115521458311502,55.54311962497462,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A103H,Ayrshire Central Hospital,KA12 8SS,"Kilwinning Road, Irvine",S08000015,S37000020,NA,S12000021,NA,S02002105,NA,S01011213,NA,231514,641144,NA,-4.678127739005853,55.634573849615265,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A105H,Kirklandside Hospital,KA1 5LH,"Kirklandside, Kilmarnock, Ayrshire",S08000015,S37000008,NA,S12000008,NA,S02001492,NA,S01007961,NA,244240.02,636263.4,NA,-4.473421138697357,55.595006062510784,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A110H,Lady Margaret Hospital,KA28 0HF,"College St, Millport, Isle of Cumbrae",S08000015,S37000020,NA,S12000021,NA,S02002128,NA,S01011328,NA,216713,655863,NA,-4.922776217072335,55.76129992100956,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",S08000015,S37000008,NA,S12000008,NA,S02001504,NA,S01008027,NA,240159.8,638520.4,NA,-4.539412042256777,55.61394328791841,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A112H,Brooksby Day Hospital,KA30 8NE,"18 Greenock Road, Largs",S08000015,S37000020,NA,S12000021,NA,S02002129,NA,S01011329,NA,220335,659862,Yes,-4.867767693519654,55.79854438678266,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A114H,Warrix Avenue Mental Health Community Rehabilitation Unit,KA12 0DP,"Warrix Avenue, Irvine",S08000015,S37000020,NA,S12000021,NA,S02002109,NA,S01011229,NA,232545,638575,Yes,-4.660205883319174,55.61187194644128,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A201H,Ailsa Hospital,KA6 6AB,"Dalmellington Road, Ayr",S08000015,S37000027,NA,S12000028,NA,S02002333,NA,S01012444,NA,236032,618646,NA,-4.593107536329703,55.434174403518774,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A202E,Maybole Day Hospital,KA19 7BY,"6 High Street, Maybole",S08000015,S37000027,NA,S12000028,NA,S02002332,NA,S01012439,NA,230096,610018,Yes,-4.681563274790319,55.354708804328766,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A208H,Biggart Hospital,KA9 2HQ,"Biggart Road, Prestwick",S08000015,S37000027,NA,S12000028,NA,S02002347,NA,S01012529,NA,235532,625171,NA,-4.604861931151369,55.49257637685811,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",S08000015,S37000027,NA,S12000028,NA,S02002333,NA,S01012444,NA,235861,618224,NA,-4.595558414766277,55.43032913030746,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A211H,Arrol Park Resource Centre,KA7 4DW,"10 Doonfoot Road, Ayr",S08000015,S37000027,NA,S12000028,NA,S02002335,NA,S01012451,NA,233146,620423,NA,-4.639733026144772,55.44914997478811,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A214H,Three Towns Resource Centre,KA21 5RF,"Nelson Road, Saltcoats",S08000015,S37000020,NA,S12000021,NA,S02002111,NA,S01011237,NA,225677,641933,NA,-4.771234860289866,55.63959692491709,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A215H,East Ayrshire Community Hospital,KA18 1EF,"Ayr Road, Cumnock",S08000015,S37000008,NA,S12000008,NA,S02001484,NA,S01007918,NA,256352,619976,NA,-4.272934296793622,55.452498516795806,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A216H,Girvan Community Hospital,KA26 9HQ,"Bridgemill, Girvan, Ayrshire",S08000015,S37000027,NA,S12000028,NA,S02002331,NA,S01012433,NA,219127,598598,NA,-4.846997299661255,55.24830304043763,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
A217H,Woodland View,KA12 8SS,"Ayrshire Central Hospital, Kilwinning Road, Irvine",S08000015,S37000020,NA,S12000021,NA,S02002105,NA,S01011213,NA,231641,641194,Yes,-4.676143299976506,55.635066620140535,S08000015,111.40476190476188,184.2941176470588,72.88935574229693
B103H,The Knoll Hospital,TD11 3EL,"Station Road, Duns",S08000016,S37000025,NA,S12000026,NA,S02002304,NA,S01012305,NA,378679,653306,Yes,-2.3414250821292653,55.77261253159919,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B104H,Galavale House,TD1 3EB,"Tweed Road, Galashiels",S08000016,S37000025,NA,S12000026,NA,S02002299,NA,S01012282,NA,350378,635136,Yes,-2.789212453105646,55.6072868280822,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B105H,Hawick Community  Hospital,TD9 7AH,"Victoria Road, Hawick",S08000016,S37000025,NA,S12000026,NA,S02002319,NA,S01012372,NA,349809,614689,NA,-2.794532371877845,55.423521856899704,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B108H,Andrew Lang Unit,TD7 4LH,"Viewfield House, Selkirk",S08000016,S37000025,NA,S12000026,NA,S02002321,NA,S01012384,NA,347045,628835,Yes,-2.8408999161339836,55.55032467814843,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B114H,Kelso Hospital,TD5 7JP,"Inch Road, Kelso",S08000016,S37000025,NA,S12000026,NA,S02002310,NA,S01012337,NA,372790,634491,Yes,-2.4334180759705597,55.60326532821214,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B118H,Hay Lodge Hospital,EH45 8JG,"Neidpath Road, Peebles",S08000016,S37000025,NA,S12000026,NA,S02002293,NA,S01012253,NA,324699,640483,Yes,-3.1981985361432965,55.652019964666195,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B120H,Borders General Hospital,TD6 9BS,Melrose,S08000016,S37000025,NA,S12000026,NA,S02002320,NA,S01012377,NA,353342,633789,NA,-2.7419408092081268,55.595478477570325,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B121H,Hawick Psychiatric Day Hospital,TD9 7AH,"c/o Hawick Community Hospital, Victoria Road, Hawick",S08000016,S37000025,NA,S12000026,NA,S02002319,NA,S01012372,NA,349980,614713,Yes,-2.7918353049788927,55.423755008050904,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B122H,Hawick Psychogeriatric Day Hospital,TD9 0BG,"West Port, Drumlanrig Square, Hawick",S08000016,S37000025,NA,S12000026,NA,S02002318,NA,S01012370,NA,350068,614234,Yes,-2.790359133274917,55.419460342245145,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B123H,Peebles Psychogeriatric Day Hospital,EH45 8BD,"Firholm, Innerleithen Road, Peebles",S08000016,S37000025,NA,S12000026,NA,S02002293,NA,S01012255,NA,325669,640412,Yes,-3.1827683859686964,55.65153168996438,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B124H,Galashiels Psychogeriatric Day Hospital,TD1 1ST,"Sime Place, Galashiels",S08000016,S37000025,NA,S12000026,NA,S02002297,NA,S01012275,NA,349132,636322,Yes,-2.809207546937752,55.617813381407025,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B127H,Eyemouth Day Hospital,TD14 5DA,"Houndlaw Park, Eyemouth",S08000016,S37000025,NA,S12000026,NA,S02002306,NA,S01012316,NA,394406,664226,NA,-2.090966734426219,55.87116908925566,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B128H,Crumhaugh House,TD9 0BA,"Crumhaugh Road, Hawick",S08000016,S37000025,NA,S12000026,NA,S02002318,NA,S01012371,NA,349595,614190,Yes,-2.7978226336903296,55.419016504382505,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B129H,Melburn Lodge,TD6 9BS,"Borders General Hospital, Melrose",S08000016,S37000025,NA,S12000026,NA,S02002320,NA,S01012377,NA,353341,633790,Yes,-2.7419568455604657,55.59548736605688,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
B130H,Huntlyburn House,TD6 9BD,"The Cottages, Huntlyburn, Melrose",S08000016,S37000025,NA,S12000026,NA,S02002320,NA,S01012377,NA,352960,633584,Yes,-2.7479668559438752,55.59359982029975,S08000016,33.42857142857143,61.23529411764706,27.806722689075627
C101H,Argyll and Bute Hospital,PA31 8LD,"Blarbuie Road, Lochgilphead",S08000022,S37000004,NA,S12000035,NA,S02001376,NA,S01007317,NA,186468,687785,NA,-5.429116799163438,56.035206197279855,S08000022,127.33333333333333,137.94117647058823,10.607843137254903
C106H,Cowal Community Hospital,PA23 7RL,"360 Argyll Street, Dunoon",S08000022,S37000004,NA,S12000035,NA,S02001385,NA,S01007365,NA,217324,677908,NA,-4.927905423488718,55.95934522676916,S08000022,127.33333333333333,137.94117647058823,10.607843137254903
C108H,Islay Hospital,PA43 7JD,"Gortonvogie Road, Bowmore, Isle of Islay",S08000022,S37000004,NA,S12000035,NA,S02001378,NA,S01007327,NA,131615,659676,NA,-6.279234631669241,55.75578813235083,S08000022,127.33333333333333,137.94117647058823,10.607843137254903
C113H,Victoria Hospital,PA20 9JJ,"High Street, Rothesay",S08000022,S37000004,NA,S12000035,NA,S02001382,NA,S01007348,NA,208723,663909,NA,-5.055573966874414,55.83039819790351,S08000022,127.33333333333333,137.94117647058823,10.607843137254903
C114H,Victoria Hospital Annexe,PA20 9JH,"Townhead, Rothesay",S08000022,S37000004,NA,S12000035,NA,S02001382,NA,S01007348,NA,208772,663527,NA,-5.054523993288345,55.82699025205068,S08000022,127.33333333333333,137.94117647058823,10.607843137254903
C121H,Lorn & Islands Hospital,PA34 4HH,"Glengallan Road, Oban",S08000022,S37000004,NA,S12000035,NA,S02001371,NA,S01007291,NA,185665,728549,NA,-5.474938612814968,56.400418469365846,S08000022,127.33333333333333,137.94117647058823,10.607843137254903
C122H,Campbeltown Hospital,PA28 6LE,"Ralston Road, Campbeltown",S08000022,S37000004,NA,S12000035,NA,S02001380,NA,S01007337,NA,172003,619995,NA,-5.604279004919588,55.4206671488718,S08000022,127.33333333333333,137.94117647058823,10.607843137254903
C204H,Dumbarton Joint Hospital/Riverview Resource Centre,G82 5JA,"Cardross Road, Dumbarton",S08000031,S37000029,NA,S12000039,NA,S02002472,NA,S01013202,NA,238067,675883,NA,-4.594809764170137,55.94861253471847,S08000031,176.07142857142858,361.05882352941177,184.98739495798318
C206H,Vale of Leven General Hospital,G83 0UA,"North Main Street, Alexandria",S08000031,S37000029,NA,S12000039,NA,S02002476,NA,S01013228,NA,238439,680824,NA,-4.591824633964343,55.993085874084024,S08000031,176.07142857142858,361.05882352941177,184.98739495798318
C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",S08000031,S37000017,NA,S12000018,NA,S02002041,NA,S01010856,NA,224623.63,675929.12,NA,-4.8098450049821215,55.94430786843811,S08000031,176.07142857142858,361.05882352941177,184.98739495798318
C403H,Dykebar Hospital,PA2 7DE,"Grahamston Road, Paisley",S08000031,S37000024,NA,S12000038,NA,S02002255,NA,S01012027,NA,249800.63,661444.48,NA,-4.3990843082041495,55.8228108769834,S08000031,176.07142857142858,361.05882352941177,184.98739495798318
