month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2016-07-01,S08000015,18plus,2574,83
2016-07-01,S08000015,18-74,355,11
2016-07-01,S08000015,75plus,2219,72
2016-07-01,S08000016,18plus,790,25
2016-07-01,S08000016,18-74,165,5
2016-07-01,S08000016,75plus,625,20
2016-07-01,S08000017,18plus,1065,34
2016-07-01,S08000017,18-74,273,9
2016-07-01,S08000017,75plus,792,26
2016-07-01,S08000019,18plus,2472,80
2016-07-01,S08000019,18-74,942,30
2016-07-01,S08000019,75plus,1530,49
2016-07-01,S08000020,18plus,5088,164
2016-07-01,S08000020,18-74,1429,46
2016-07-01,S08000020,75plus,3659,118
2016-07-01,S08000022,18plus,4299,139
2016-07-01,S08000022,18-74,996,32
2016-07-01,S08000022,75plus,3303,107
2016-07-01,S08000024,18plus,9569,309
2016-07-01,S08000024,18-74,2975,96
2016-07-01,S08000024,75plus,6594,213
2016-07-01,S08000025,18plus,192,6
2016-07-01,S08000025,18-74,65,2
2016-07-01,S08000025,75plus,127,4
2016-07-01,S08000026,18plus,164,5
2016-07-01,S08000026,18-74,34,1
2016-07-01,S08000026,75plus,130,4
2016-07-01,S08000028,18plus,721,23
2016-07-01,S08000028,18-74,93,3
2016-07-01,S08000028,75plus,628,20
2016-07-01,S08000029,18plus,3476,112
2016-07-01,S08000029,18-74,1218,39
2016-07-01,S08000029,75plus,2258,73
2016-07-01,S08000030,18plus,2699,87
2016-07-01,S08000030,18-74,813,26
2016-07-01,S08000030,75plus,1886,61
2016-07-01,S08000031,18plus,4421,143
2016-07-01,S08000031,18-74,2152,69
2016-07-01,S08000031,75plus,2269,73
2016-07-01,S08000032,18plus,6389,206
2016-07-01,S08000032,18-74,1635,53
2016-07-01,S08000032,75plus,4754,153
2016-07-01,S92000003,18plus,43919,1417
2016-07-01,S92000003,18-74,13145,424
2016-07-01,S92000003,75plus,30774,993
2016-08-01,S08000015,18plus,2904,94
2016-08-01,S08000015,18-74,409,13
2016-08-01,S08000015,75plus,2495,80
2016-08-01,S08000016,18plus,936,30
2016-08-01,S08000016,18-74,280,9
2016-08-01,S08000016,75plus,656,21
2016-08-01,S08000017,18plus,929,30
2016-08-01,S08000017,18-74,204,7
2016-08-01,S08000017,75plus,725,23
2016-08-01,S08000019,18plus,2985,96
2016-08-01,S08000019,18-74,1030,33
2016-08-01,S08000019,75plus,1955,63
2016-08-01,S08000020,18plus,4965,160
2016-08-01,S08000020,18-74,1554,50
2016-08-01,S08000020,75plus,3411,110
2016-08-01,S08000022,18plus,4277,138
2016-08-01,S08000022,18-74,861,28
2016-08-01,S08000022,75plus,3416,110
2016-08-01,S08000024,18plus,9608,310
2016-08-01,S08000024,18-74,2992,97
2016-08-01,S08000024,75plus,6616,213
2016-08-01,S08000025,18plus,143,5
2016-08-01,S08000025,18-74,39,1
2016-08-01,S08000025,75plus,104,3
2016-08-01,S08000026,18plus,253,8
2016-08-01,S08000026,18-74,46,1
2016-08-01,S08000026,75plus,207,7
2016-08-01,S08000028,18plus,891,29
2016-08-01,S08000028,18-74,179,6
2016-08-01,S08000028,75plus,712,23
2016-08-01,S08000029,18plus,3823,123
2016-08-01,S08000029,18-74,1236,40
2016-08-01,S08000029,75plus,2587,83
2016-08-01,S08000030,18plus,3145,101
2016-08-01,S08000030,18-74,913,29
2016-08-01,S08000030,75plus,2232,72
2016-08-01,S08000031,18plus,4747,153
2016-08-01,S08000031,18-74,2144,69
2016-08-01,S08000031,75plus,2603,84
2016-08-01,S08000032,18plus,5945,192
2016-08-01,S08000032,18-74,1630,53
2016-08-01,S08000032,75plus,4315,139
2016-08-01,S92000003,18plus,45551,1469
2016-08-01,S92000003,18-74,13517,436
2016-08-01,S92000003,75plus,32034,1033
2016-09-01,S08000015,18plus,2574,86
2016-09-01,S08000015,18-74,512,17
2016-09-01,S08000015,75plus,2062,69
2016-09-01,S08000016,18plus,795,27
2016-09-01,S08000016,18-74,226,8
2016-09-01,S08000016,75plus,569,19
2016-09-01,S08000017,18plus,935,31
2016-09-01,S08000017,18-74,264,9
2016-09-01,S08000017,75plus,671,22
2016-09-01,S08000019,18plus,2965,99
2016-09-01,S08000019,18-74,823,27
2016-09-01,S08000019,75plus,2142,71
2016-09-01,S08000020,18plus,4987,166
2016-09-01,S08000020,18-74,1543,51
2016-09-01,S08000020,75plus,3444,115
2016-09-01,S08000022,18plus,4163,139
2016-09-01,S08000022,18-74,933,31
2016-09-01,S08000022,75plus,3230,108
2016-09-01,S08000024,18plus,9830,328
2016-09-01,S08000024,18-74,2867,96
2016-09-01,S08000024,75plus,6963,232
2016-09-01,S08000025,18plus,73,2
2016-09-01,S08000025,18-74,0,0
2016-09-01,S08000025,75plus,73,2
2016-09-01,S08000026,18plus,125,4
2016-09-01,S08000026,18-74,18,1
2016-09-01,S08000026,75plus,107,4
2016-09-01,S08000028,18plus,806,27
2016-09-01,S08000028,18-74,198,7
2016-09-01,S08000028,75plus,608,20
2016-09-01,S08000029,18plus,3768,126
2016-09-01,S08000029,18-74,1359,45
2016-09-01,S08000029,75plus,2409,80
2016-09-01,S08000030,18plus,3404,113
2016-09-01,S08000030,18-74,1077,36
2016-09-01,S08000030,75plus,2327,78
2016-09-01,S08000031,18plus,4943,165
2016-09-01,S08000031,18-74,2328,78
2016-09-01,S08000031,75plus,2615,87
2016-09-01,S08000032,18plus,5706,190
2016-09-01,S08000032,18-74,1698,57
2016-09-01,S08000032,75plus,4008,134
2016-09-01,S92000003,18plus,45074,1502
2016-09-01,S92000003,18-74,13846,462
2016-09-01,S92000003,75plus,31228,1041
2016-10-01,S08000015,18plus,2711,87
2016-10-01,S08000015,18-74,594,19
2016-10-01,S08000015,75plus,2117,68
2016-10-01,S08000016,18plus,974,31
2016-10-01,S08000016,18-74,256,8
2016-10-01,S08000016,75plus,718,23
2016-10-01,S08000017,18plus,1270,41
2016-10-01,S08000017,18-74,195,6
2016-10-01,S08000017,75plus,1075,35
2016-10-01,S08000019,18plus,2905,94
2016-10-01,S08000019,18-74,815,26
2016-10-01,S08000019,75plus,2090,67
2016-10-01,S08000020,18plus,5401,174
2016-10-01,S08000020,18-74,1420,46
2016-10-01,S08000020,75plus,3981,128
2016-10-01,S08000022,18plus,4511,146
2016-10-01,S08000022,18-74,910,29
2016-10-01,S08000022,75plus,3601,116
2016-10-01,S08000024,18plus,10065,325
2016-10-01,S08000024,18-74,3149,102
2016-10-01,S08000024,75plus,6916,223
2016-10-01,S08000025,18plus,58,2
2016-10-01,S08000025,18-74,3,0
2016-10-01,S08000025,75plus,55,2
2016-10-01,S08000026,18plus,60,2
2016-10-01,S08000026,18-74,0,0
2016-10-01,S08000026,75plus,60,2
2016-10-01,S08000028,18plus,915,30
2016-10-01,S08000028,18-74,243,8
2016-10-01,S08000028,75plus,672,22
2016-10-01,S08000029,18plus,3740,121
2016-10-01,S08000029,18-74,1200,39
2016-10-01,S08000029,75plus,2540,82
2016-10-01,S08000030,18plus,3804,123
2016-10-01,S08000030,18-74,1268,41
2016-10-01,S08000030,75plus,2536,82
2016-10-01,S08000031,18plus,5312,171
2016-10-01,S08000031,18-74,2680,86
2016-10-01,S08000031,75plus,2632,85
2016-10-01,S08000032,18plus,6378,206
2016-10-01,S08000032,18-74,1883,61
2016-10-01,S08000032,75plus,4495,145
2016-10-01,S92000003,18plus,48104,1552
2016-10-01,S92000003,18-74,14616,471
2016-10-01,S92000003,75plus,33488,1080
2016-11-01,S08000015,18plus,3152,105
2016-11-01,S08000015,18-74,676,23
2016-11-01,S08000015,75plus,2476,83
2016-11-01,S08000016,18plus,965,32
2016-11-01,S08000016,18-74,232,8
2016-11-01,S08000016,75plus,733,24
2016-11-01,S08000017,18plus,1197,40
2016-11-01,S08000017,18-74,256,9
2016-11-01,S08000017,75plus,941,31
2016-11-01,S08000019,18plus,2828,94
2016-11-01,S08000019,18-74,770,26
2016-11-01,S08000019,75plus,2058,69
2016-11-01,S08000020,18plus,5301,177
2016-11-01,S08000020,18-74,1527,51
2016-11-01,S08000020,75plus,3774,126
2016-11-01,S08000022,18plus,4214,140
2016-11-01,S08000022,18-74,1030,34
2016-11-01,S08000022,75plus,3184,106
2016-11-01,S08000024,18plus,8898,297
2016-11-01,S08000024,18-74,2719,91
2016-11-01,S08000024,75plus,6179,206
2016-11-01,S08000025,18plus,28,1
2016-11-01,S08000025,18-74,1,0
2016-11-01,S08000025,75plus,27,1
2016-11-01,S08000026,18plus,41,1
2016-11-01,S08000026,18-74,13,0
2016-11-01,S08000026,75plus,28,1
2016-11-01,S08000028,18plus,825,28
2016-11-01,S08000028,18-74,312,10
2016-11-01,S08000028,75plus,513,17
2016-11-01,S08000029,18plus,3594,120
2016-11-01,S08000029,18-74,1179,39
2016-11-01,S08000029,75plus,2415,81
2016-11-01,S08000030,18plus,3309,110
2016-11-01,S08000030,18-74,1188,40
2016-11-01,S08000030,75plus,2121,71
2016-11-01,S08000031,18plus,5397,180
2016-11-01,S08000031,18-74,2808,94
2016-11-01,S08000031,75plus,2589,86
2016-11-01,S08000032,18plus,5890,196
2016-11-01,S08000032,18-74,1652,55
2016-11-01,S08000032,75plus,4238,141
2016-11-01,S92000003,18plus,45639,1521
2016-11-01,S92000003,18-74,14363,479
2016-11-01,S92000003,75plus,31276,1043
2016-12-01,S08000015,18plus,3317,107
2016-12-01,S08000015,18-74,591,19
2016-12-01,S08000015,75plus,2726,88
2016-12-01,S08000016,18plus,917,30
2016-12-01,S08000016,18-74,249,8
2016-12-01,S08000016,75plus,668,22
2016-12-01,S08000017,18plus,1407,45
