quarter,percentage_occupancy,hb,total_occupied_beddays,all_staffed_beddays
2017 Q4,83.63690101753873,All health boards,15852432,18953873
2018 Q1,85.37419182351861,All health boards,15992017,18731676
2018 Q2,82.70400484698997,All health boards,15370316,18584730
2018 Q3,82.67057237604341,All health boards,15204107,18391196
2018 Q4,82.99606812835565,All health boards,15345275,18489159
2019 Q1,85.08775269161966,All health boards,15556473,18282858
2019 Q2,83.0108507622359,All health boards,15237197,18355669
2019 Q3,81.96502746895437,All health boards,15244673,18598997
2019 Q4,82.90247495740634,All health boards,15552370,18759838
2020 Q1,79.59599136768219,All health boards,14935317,18763906
2020 Q2,59.93245430060872,All health boards,10701397,17855763
2020 Q3,73.53738395332317,All health boards,13120668,17842174
2020 Q4,76.23082887663425,All health boards,13786305,18084947
2021 Q1,77.26296834261801,All health boards,13778010,17832618
2021 Q2,78.6666587499101,All health boards,14176399,18020848
2021 Q3,80.93672687244634,All health boards,14823084,18314410
2021 Q4,81.87809483883466,All health boards,15195031,18558115
2022 Q1,82.5199793026777,All health boards,15104306,18303817
2022 Q2,83.36430598046553,All health boards,15465175,18551315
2022 Q3,84.10189484168579,All health boards,15786601,18770803
2022 Q4,85.18054701942069,All health boards,16039566,18830081
2017 Q4,90.10288299250979,S08000015,786363,872739
2018 Q1,90.12999910551073,S08000015,785939,872006
2018 Q2,88.9816370684542,S08000015,736598,827809
2018 Q3,88.85674466555088,S08000015,698143,785695
2018 Q4,89.72988175135826,S08000015,701912,782250
2019 Q1,91.42730184496916,S08000015,711906,778658
2019 Q2,91.08218951503146,S08000015,699350,767823
2019 Q3,91.27243024716569,S08000015,706204,773732
2019 Q4,91.31879174945354,S08000015,716069,784142
2020 Q1,86.97131935511155,S08000015,688932,792137
2020 Q2,70.26810769071513,S08000015,502320,714862
2020 Q3,85.53789145887893,S08000015,621881,727024
2020 Q4,84.60191680360255,S08000015,660554,780779
2021 Q1,84.41848900090346,S08000015,648464,768154
2021 Q2,86.33120584728954,S08000015,663331,768356
2021 Q3,88.27125901838734,S08000015,702528,795874
2021 Q4,88.17182935797824,S08000015,727750,825377
2022 Q1,88.62617124472403,S08000015,732186,826151
2022 Q2,89.75116652014722,S08000015,743233,828104
2022 Q3,89.64077917018686,S08000015,750149,836839
2022 Q4,91.7000153826129,S08000015,774966,845110
2017 Q4,86.68895075629955,S08000016,195546,225572
2018 Q1,90.44420671568693,S08000016,200371,221541
2018 Q2,86.17074343545103,S08000016,191748,222521
2018 Q3,85.75393319590573,S08000016,192190,224118
2018 Q4,84.39247326734504,S08000016,182627,216402
2019 Q1,80.18988816402609,S08000016,178971,223184
2019 Q2,79.72267752701771,S08000016,174611,219023
2019 Q3,78.65290833274436,S08000016,166929,212235
2019 Q4,84.22950754881036,S08000016,170494,202416
2020 Q1,77.43082502010695,S08000016,164628,212613
2020 Q2,60.38416531403519,S08000016,111977,185441
2020 Q3,75.35010999624403,S08000016,140430,186370
2020 Q4,80.46325365494805,S08000016,155315,193026
2021 Q1,80.24483107619645,S08000016,166500,207490
2021 Q2,84.94346157764271,S08000016,175105,206143
2021 Q3,85.42025542025542,S08000016,172566,202020
2021 Q4,83.80589482651654,S08000016,181009,215986
2022 Q1,86.85833433950347,S08000016,187039,215338
2022 Q2,88.9798002032625,S08000016,189987,213517
2022 Q3,88.34494041090882,S08000016,193327,218832
2022 Q4,89.4100963220804,S08000016,194188,217188
2017 Q4,70.95737294827833,S08000017,267769,377366
2018 Q1,79.6649528706084,S08000017,278907,350100
2018 Q2,75.80046410383964,S08000017,263609,347767
2018 Q3,76.27888412139528,S08000017,267552,350755
2018 Q4,75.34593241832853,S08000017,268554,356428
2019 Q1,79.91977743265439,S08000017,286116,358004
2019 Q2,78.70116079966198,S08000017,283129,359752
2019 Q3,77.88583405116837,S08000017,283911,364522
2019 Q4,78.75390603585329,S08000017,287310,364820
2020 Q1,76.25493025761556,S08000017,273181,358247
2020 Q2,50.37651175173043,S08000017,172198,341822
2020 Q3,67.7422108165164,S08000017,238101,351481
2020 Q4,67.11306958770052,S08000017,241399,359690
2021 Q1,68.36311714310949,S08000017,232209,339670
2021 Q2,72.65013299907869,S08000017,251546,346243
2021 Q3,75.44084142192816,S08000017,265892,352451
2021 Q4,75.7381202312076,S08000017,279226,368673
2022 Q1,74.54474086327507,S08000017,265875,356665
2022 Q2,76.26788000980847,S08000017,279926,367030
2022 Q3,76.66571613601295,S08000017,287672,375229
2022 Q4,77.2008350994844,S08000017,292866,379356
2017 Q4,90.2879549498195,S08000019,522686,578910
2018 Q1,88.65194344442547,S08000019,508754,573878
2018 Q2,78.98863813130752,S08000019,497630,630002
2018 Q3,86.67729761521335,S08000019,495177,571288
2018 Q4,88.35988321466988,S08000019,517515,585690
2019 Q1,86.69756739330299,S08000019,498850,575391
2019 Q2,70.73150426295798,S08000019,475779,672655
2019 Q3,62.25719985466611,S08000019,454076,729355
2019 Q4,65.2438408103169,S08000019,477688,732158
2020 Q1,64.58853383432738,S08000019,468584,725491
2020 Q2,50.11524243134594,S08000019,344198,686813
2020 Q3,67.3090804926955,S08000019,411208,610925
2020 Q4,72.04530641781024,S08000019,441052,612187
2021 Q1,72.23732144058025,S08000019,440410,609671
2021 Q2,71.5700743093066,S08000019,440828,615939
2021 Q3,72.97897912239229,S08000019,458443,628185
2021 Q4,75.63202172448764,S08000019,497425,657691
2022 Q1,74.36873016902862,S08000019,481423,647346
2022 Q2,75.02525949749644,S08000019,502703,670045
2022 Q3,76.16806548082845,S08000019,513209,673785
2022 Q4,75.90613065268167,S08000019,521926,687594
2017 Q4,81.07500743068235,S08000020,763759,942040
2018 Q1,84.65039458336467,S08000020,799021,943907
2018 Q2,80.54546425900203,S08000020,753825,935900
2018 Q3,78.61737446028587,S08000020,739067,940081
2018 Q4,78.76631670094166,S08000020,727722,923900
2019 Q1,81.51617911603132,S08000020,741344,909444
2019 Q2,81.79374893238473,S08000020,737405,901542
2019 Q3,80.44162977563967,S08000020,741922,922311
2019 Q4,80.40165410723236,S08000020,757107,941656
2020 Q1,78.00257213115967,S08000020,738136,946297
2020 Q2,62.525101744115375,S08000020,514364,822652
2020 Q3,74.6152934412008,S08000020,591753,793072
2020 Q4,77.73828529993577,S08000020,611089,786085
2021 Q1,80.66996045946155,S08000020,644290,798674
2021 Q2,83.878288805315,S08000020,656382,782541
2021 Q3,85.67531619307177,S08000020,683426,797693
2021 Q4,86.28405248766894,S08000020,709701,822517
2022 Q1,86.08970092796162,S08000020,707579,821909
2022 Q2,87.333922759478,S08000020,725034,830186
2022 Q3,88.10127124900572,S08000020,739878,839804
2022 Q4,89.33670153791452,S08000020,743720,832491
2017 Q4,81.58627813660705,S08000022,437557,536312
2018 Q1,84.04897630704082,S08000022,438639,521885
2018 Q2,81.91076605987895,S08000022,426031,520116
2018 Q3,81.33358419281211,S08000022,427970,526191
2018 Q4,81.23964855777874,S08000022,424781,522874
2019 Q1,85.41082071826551,S08000022,444091,519947
2019 Q2,83.45332187098802,S08000022,440722,528106
2019 Q3,82.8613160875118,S08000022,447031,539493
2019 Q4,83.21297197371338,S08000022,442931,532286
2020 Q1,79.6610457156435,S08000022,422425,530278
2020 Q2,59.55725309525953,S08000022,291123,488812
2020 Q3,74.79758198993672,S08000022,360190,481553
2020 Q4,79.98066691002975,S08000022,392186,490351
2021 Q1,79.59027592442848,S08000022,399618,502094
2021 Q2,81.8099240187755,S08000022,392677,479987
2021 Q3,85.28372667922382,S08000022,433307,508077
2021 Q4,83.81538013298857,S08000022,437264,521699
2022 Q1,86.45963154022091,S08000022,433589,501493
2022 Q2,86.24258441651207,S08000022,446734,517997
2022 Q3,88.31675080277518,S08000022,469211,531282
2022 Q4,87.82434679669664,S08000022,467388,532185
2017 Q4,87.75555410918483,S08000024,1604462,1828331
2018 Q1,89.52741843387292,S08000024,1621218,1810862
2018 Q2,88.42873047668654,S08000024,1606009,1816162
2018 Q3,86.8082297765744,S08000024,1580902,1821143
2018 Q4,86.62608799247593,S08000024,1585137,1829861
2019 Q1,87.94525358250328,S08000024,1582829,1799789
2019 Q2,84.8614751163821,S08000024,1538351,1812779
2019 Q3,84.39253974241879,S08000024,1545846,1831733
2019 Q4,85.3255657974149,S08000024,1574941,1845802
2020 Q1,82.45593814323135,S08000024,1516650,1839346
2020 Q2,59.43726318957145,S08000024,1086320,1827675
2020 Q3,71.33959921783006,S08000024,1338923,1876830
2020 Q4,76.78588715020051,S08000024,1419844,1849095
2021 Q1,77.7458063408039,S08000024,1412293,1816552
2021 Q2,79.2301800014046,S08000024,1455315,1836819
2021 Q3,81.84002592664291,S08000024,1517693,1854463
