hb,quarter,total_occupied_beddays,all_staffed_beddays,percentage_occupancy
S08000015,2017 Q4,786363,872739,90.10288299250979
S08000015,2018 Q1,785939,872006,90.12999910551073
S08000015,2018 Q2,736598,827809,88.9816370684542
S08000015,2018 Q3,698143,785695,88.85674466555088
S08000015,2018 Q4,701912,782250,89.72988175135826
S08000015,2019 Q1,711906,778658,91.42730184496916
S08000015,2019 Q2,699350,767823,91.08218951503146
S08000015,2019 Q3,706204,773732,91.27243024716569
S08000015,2019 Q4,716069,784142,91.31879174945354
S08000015,2020 Q1,688932,792137,86.97131935511155
S08000015,2020 Q2,502320,714862,70.26810769071513
S08000015,2020 Q3,621881,727024,85.53789145887893
S08000015,2020 Q4,660554,780779,84.60191680360255
S08000015,2021 Q1,648464,768154,84.41848900090346
S08000015,2021 Q2,663331,768356,86.33120584728954
S08000015,2021 Q3,702528,795874,88.27125901838734
S08000015,2021 Q4,727750,825377,88.17182935797824
S08000015,2022 Q1,732186,826151,88.62617124472403
S08000015,2022 Q2,743233,828104,89.75116652014722
S08000015,2022 Q3,750149,836839,89.64077917018686
S08000015,2022 Q4,774966,845110,91.7000153826129
S08000016,2017 Q4,195546,225572,86.68895075629955
S08000016,2018 Q1,200371,221541,90.44420671568693
S08000016,2018 Q2,191748,222521,86.17074343545103
S08000016,2018 Q3,192190,224118,85.75393319590573
S08000016,2018 Q4,182627,216402,84.39247326734504
S08000016,2019 Q1,178971,223184,80.18988816402609
S08000016,2019 Q2,174611,219023,79.72267752701771
S08000016,2019 Q3,166929,212235,78.65290833274436
S08000016,2019 Q4,170494,202416,84.22950754881036
S08000016,2020 Q1,164628,212613,77.43082502010695
S08000016,2020 Q2,111977,185441,60.38416531403519
S08000016,2020 Q3,140430,186370,75.35010999624403
S08000016,2020 Q4,155315,193026,80.46325365494805
S08000016,2021 Q1,166500,207490,80.24483107619645
S08000016,2021 Q2,175105,206143,84.94346157764271
S08000016,2021 Q3,172566,202020,85.42025542025542
S08000016,2021 Q4,181009,215986,83.80589482651654
S08000016,2022 Q1,187039,215338,86.85833433950347
S08000016,2022 Q2,189987,213517,88.9798002032625
S08000016,2022 Q3,193327,218832,88.34494041090882
S08000016,2022 Q4,194188,217188,89.4100963220804
S08000017,2017 Q4,267769,377366,70.95737294827833
S08000017,2018 Q1,278907,350100,79.6649528706084
S08000017,2018 Q2,263609,347767,75.80046410383964
S08000017,2018 Q3,267552,350755,76.27888412139528
S08000017,2018 Q4,268554,356428,75.34593241832853
S08000017,2019 Q1,286116,358004,79.91977743265439
S08000017,2019 Q2,283129,359752,78.70116079966198
S08000017,2019 Q3,283911,364522,77.88583405116837
S08000017,2019 Q4,287310,364820,78.75390603585329
S08000017,2020 Q1,273181,358247,76.25493025761556
S08000017,2020 Q2,172198,341822,50.37651175173043
S08000017,2020 Q3,238101,351481,67.7422108165164
S08000017,2020 Q4,241399,359690,67.11306958770052
S08000017,2021 Q1,232209,339670,68.36311714310949
S08000017,2021 Q2,251546,346243,72.65013299907869
S08000017,2021 Q3,265892,352451,75.44084142192816
S08000017,2021 Q4,279226,368673,75.7381202312076
S08000017,2022 Q1,265875,356665,74.54474086327507
S08000017,2022 Q2,279926,367030,76.26788000980847
S08000017,2022 Q3,287672,375229,76.66571613601295
S08000017,2022 Q4,292866,379356,77.2008350994844
S08000019,2017 Q4,522686,578910,90.2879549498195
