Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,TotalPositive,CrudeRatePositive,FirstInfections,Reinfections,PercentReinfections
20230704,S92000003,Female,,0 to 14,,164264,39193.62266140789,154426,9838,5.989139434081722
20230704,S92000003,Female,,0 to 59,,1004465,49271.30377540724,909572,94893,9.447118615382317
20230704,S92000003,Female,,15 to 19,,78850,57173.7254646045,71265,7585,9.619530754597337
20230704,S92000003,Female,,20 to 24,,100568,59700.92548069787,88584,11984,11.916315328931669
20230704,S92000003,Female,,25 to 44,,405592,56109.03295779013,362057,43535,10.733692972247974
20230704,S92000003,Female,,45 to 64,,315598,40871.56973205382,289966,25632,8.121724472271687
20230704,S92000003,Female,,60+,,185241,24305.153730185906,176067,9174,4.952467326347839
20230704,S92000003,Female,,65 to 74,,66545,21759.247148686827,63969,2576,3.8710646930648434
20230704,S92000003,Female,,75 to 84,,35650,18564.807582148624,34158,1492,4.185133239831697
20230704,S92000003,Female,,85plus,,22639,27466.1813770094,21214,1425,6.294447634612836
20230704,S92000003,Male,,0 to 14,,167048,37906.78518020972,157004,10044,6.0126430726497775
20230704,S92000003,Male,,0 to 59,,821552,40696.88068122712,765955,55597,6.767313572360606
20230704,S92000003,Male,,15 to 19,,65124,45160.08238157648,60651,4473,6.868435599778883
20230704,S92000003,Male,,20 to 24,,78954,45558.62021211527,72062,6892,8.729133419459432
20230704,S92000003,Male,,25 to 44,,313810,44295.855265293794,290675,23135,7.372295337943341
20230704,S92000003,Male,,45 to 64,,248192,34338.52624588395,234811,13381,5.391390536358948
20230704,S92000003,Male,,60+,,162442,25126.295046264357,155783,6659,4.099309291931889
20230704,S92000003,Male,,65 to 74,,64258,22913.36083782926,62003,2255,3.509290671978586
20230704,S92000003,Male,,75 to 84,,33517,22422.997671867055,32147,1370,4.087477996240714
20230704,S92000003,Male,,85plus,,13091,28529.398945212048,12385,706,5.393018104040944
20230704,S92000003,Total,d,Total,d,2176791,39824.204171240395,2010468,166323,7.640742726334315
