WeekEnding,HB,HBQF,AdmissionType,AdmissionTypeQF,Specialty,SpecialtyQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S08000015,,All,d,Accident & Emergency,,30,30.5,-1.6
20200105,S08000015,,All,d,All,d,991,1082,-8.4
20200105,S08000015,,All,d,Cardiology,,17,11.5,47.8
20200105,S08000015,,All,d,Medical (excl. Cardiology & Cancer),,605,663,-8.7
20200105,S08000015,,All,d,Medical (incl. Cardiology & Cancer),,622,674.5,-7.8
20200105,S08000015,,All,d,Paediatrics (medical & surgical),,116,128.5,-9.7
20200105,S08000015,,All,d,Paediatrics (medical),,116,128.5,-9.7
20200105,S08000015,,All,d,Surgery,,221,246,-10.2
20200105,S08000016,,All,d,All,d,275,270.5,1.7
20200105,S08000016,,All,d,Cardiology,,9,6,50
20200105,S08000016,,All,d,Community,,12,17.5,-31.4
20200105,S08000016,,All,d,Medical (excl. Cardiology & Cancer),,171,143.5,19.2
20200105,S08000016,,All,d,Medical (incl. Cardiology & Cancer),,180,149.5,20.4
20200105,S08000016,,All,d,Paediatrics (medical & surgical),,28,35.5,-21.1
20200105,S08000016,,All,d,Paediatrics (medical),,28,35.5,-21.1
20200105,S08000016,,All,d,Surgery,,55,68,-19.1
20200105,S08000017,,All,d,All,d,393,394,-0.3
20200105,S08000017,,All,d,Community,,30,29,3.4
20200105,S08000017,,All,d,Gynaecology,,12,16,-25
20200105,S08000017,,All,d,Medical (excl. Cardiology & Cancer),,224,211.5,5.9
20200105,S08000017,,All,d,Medical (incl. Cardiology & Cancer),,227,213,6.6
20200105,S08000017,,All,d,Paediatrics (medical & surgical),,35,42.5,-17.6
20200105,S08000017,,All,d,Paediatrics (medical),,35,42.5,-17.6
20200105,S08000017,,All,d,Surgery,,89,93,-4.3
20200105,S08000019,,All,d,All,d,763,1089,-29.9
20200105,S08000019,,All,d,Gynaecology,,24,32.5,-26.2
20200105,S08000019,,All,d,Medical (excl. Cardiology & Cancer),,496,769,-35.5
20200105,S08000019,,All,d,Medical (incl. Cardiology & Cancer),,498,773.5,-35.6
20200105,S08000019,,All,d,Paediatrics (medical & surgical),,62,92,-32.6
20200105,S08000019,,All,d,Paediatrics (medical),,62,91.5,-32.2
20200105,S08000019,,All,d,Surgery,,176,180.5,-2.5
20200105,S08000020,,All,d,Accident & Emergency,,58,39.5,46.8
20200105,S08000020,,All,d,All,d,1164,1156.5,0.6
20200105,S08000020,,All,d,Cancer,,34,32,6.2
20200105,S08000020,,All,d,Cardiology,,28,38.5,-27.3
20200105,S08000020,,All,d,Community,,44,56.5,-22.1
20200105,S08000020,,All,d,Gynaecology,,18,16,12.5
20200105,S08000020,,All,d,Medical (excl. Cardiology & Cancer),,513,524.5,-2.2
20200105,S08000020,,All,d,Medical (incl. Cardiology & Cancer),,575,595,-3.4
20200105,S08000020,,All,d,Paediatrics (medical & surgical),,138,107,29
20200105,S08000020,,All,d,Paediatrics (medical),,126,98.5,27.9
20200105,S08000020,,All,d,Paediatrics (surgical),,12,8.5,41.2
20200105,S08000020,,All,d,Surgery,,331,341.5,-3.1
20200105,S08000022,,All,d,All,d,744,703,5.8
20200105,S08000022,,All,d,Cardiology,,7,9,-22.2
20200105,S08000022,,All,d,Community,,99,100,-1
20200105,S08000022,,All,d,Gynaecology,,18,19.5,-7.7
20200105,S08000022,,All,d,Medical (excl. Cardiology & Cancer),,335,321.5,4.2
20200105,S08000022,,All,d,Medical (incl. Cardiology & Cancer),,346,345,0.3
20200105,S08000022,,All,d,Paediatrics (medical & surgical),,70,66,6.1
20200105,S08000022,,All,d,Paediatrics (medical),,69,66,4.5
20200105,S08000022,,All,d,Surgery,,211,171.5,23
20200105,S08000024,,All,d,Accident & Emergency,,268,49,446.9
20200105,S08000024,,All,d,All,d,2194,1900,15.5
20200105,S08000024,,All,d,Cancer,,109,74.5,46.3
20200105,S08000024,,All,d,Cardiology,,57,65,-12.3
20200105,S08000024,,All,d,Gynaecology,,48,38.5,24.7
20200105,S08000024,,All,d,Medical (excl. Cardiology & Cancer),,919,1001,-8.2
20200105,S08000024,,All,d,Medical (incl. Cardiology & Cancer),,1085,1140.5,-4.9
20200105,S08000024,,All,d,Paediatrics (medical & surgical),,188,144,30.6
20200105,S08000024,,All,d,Paediatrics (medical),,167,130,28.5
20200105,S08000024,,All,d,Paediatrics (surgical),,21,14,50
20200105,S08000024,,All,d,Surgery,,605,528,14.6
20200105,S08000025,,All,d,All,d,40,35,14.3
20200105,S08000025,,All,d,Medical (excl. Cardiology & Cancer),,31,22,40.9
20200105,S08000025,,All,d,Medical (incl. Cardiology & Cancer),,31,22.5,37.8
20200105,S08000025,,All,d,Surgery,,9,12,-25
20200105,S08000026,,All,d,All,d,28,39.5,-29.1
20200105,S08000026,,All,d,Medical (excl. Cardiology & Cancer),,16,22,-27.3
20200105,S08000026,,All,d,Medical (incl. Cardiology & Cancer),,16,22,-27.3
20200105,S08000026,,All,d,Surgery,,12,17.5,-31.4
20200105,S08000028,,All,d,All,d,66,86,-23.3
20200105,S08000028,,All,d,Community,,11,14.5,-24.1
20200105,S08000028,,All,d,Medical (excl. Cardiology & Cancer),,37,50,-26
20200105,S08000028,,All,d,Medical (incl. Cardiology & Cancer),,37,50,-26
20200105,S08000028,,All,d,Surgery,,15,17,-11.8
20200105,S08000029,,All,d,Accident & Emergency,,74,63,17.5
20200105,S08000029,,All,d,All,d,914,903.5,1.2
20200105,S08000029,,All,d,Cardiology,,34,24,41.7
20200105,S08000029,,All,d,Community,,14,12,16.7
20200105,S08000029,,All,d,Gynaecology,,19,22.5,-15.6
20200105,S08000029,,All,d,Medical (excl. Cardiology & Cancer),,478,483,-1
20200105,S08000029,,All,d,Medical (incl. Cardiology & Cancer),,512,507.5,0.9
20200105,S08000029,,All,d,Paediatrics (medical & surgical),,93,95,-2.1
20200105,S08000029,,All,d,Paediatrics (medical),,92,95,-3.2
20200105,S08000029,,All,d,Surgery,,202,202,-0
20200105,S08000030,,All,d,Accident & Emergency,,82,76,7.9
20200105,S08000030,,All,d,All,d,1139,1173,-2.9
20200105,S08000030,,All,d,Cancer,,23,20.5,12.2
20200105,S08000030,,All,d,Cardiology,,19,27.5,-30.9
20200105,S08000030,,All,d,Community,,9,24,-62.5
20200105,S08000030,,All,d,Gynaecology,,21,23,-8.7
20200105,S08000030,,All,d,Medical (excl. Cardiology & Cancer),,564,567.5,-0.6
20200105,S08000030,,All,d,Medical (incl. Cardiology & Cancer),,606,615.5,-1.5
