WeekEnding,HSCP,SIMDQuintile,AdmissionType,AdmissionTypeQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S37000001,1,All,d,65,63.5,2.4
20200105,S37000001,2,All,d,125,133,-6
20200105,S37000001,3,All,d,83,69.5,19.4
20200105,S37000001,4,All,d,69,67,3
20200105,S37000001,5,All,d,123,133,-7.5
20200105,S37000002,1,All,d,16,19,-15.8
20200105,S37000002,2,All,d,58,60.5,-4.1
20200105,S37000002,3,All,d,124,117.5,5.5
20200105,S37000002,4,All,d,167,174.5,-4.3
20200105,S37000002,5,All,d,111,109,1.8
20200105,S37000003,1,All,d,16,27.5,-41.8
20200105,S37000003,2,All,d,78,77,1.3
20200105,S37000003,3,All,d,74,78.5,-5.7
20200105,S37000003,4,All,d,71,71,-0
20200105,S37000003,5,All,d,32,32,-0
20200105,S37000004,1,All,d,26,30,-13.3
20200105,S37000004,2,All,d,50,44.5,12.4
20200105,S37000004,3,All,d,114,100.5,13.4
20200105,S37000004,4,All,d,49,50.5,-3
20200105,S37000004,5,All,d,14,19.5,-28.2
20200105,S37000005,1,All,d,103,132,-22
20200105,S37000005,2,All,d,89,93.5,-4.8
20200105,S37000005,3,All,d,54,83.5,-35.3
20200105,S37000005,4,All,d,76,101.5,-25.1
20200105,S37000005,5,All,d,60,93,-35.5
20200105,S37000006,1,All,d,44,49.5,-11.1
20200105,S37000006,2,All,d,132,129,2.3
20200105,S37000006,3,All,d,147,157,-6.4
20200105,S37000006,4,All,d,59,54,9.3
20200105,S37000006,5,All,d,37,30,23.3
20200105,S37000007,1,All,d,214,193.5,10.6
20200105,S37000007,2,All,d,86,91,-5.5
20200105,S37000007,3,All,d,36,41,-12.2
20200105,S37000007,4,All,d,49,45.5,7.7
20200105,S37000007,5,All,d,64,49.5,29.3
20200105,S37000008,1,All,d,138,133.5,3.4
20200105,S37000008,2,All,d,96,103,-6.8
20200105,S37000008,3,All,d,58,61.5,-5.7
20200105,S37000008,4,All,d,43,34,26.5
20200105,S37000008,5,All,d,18,35.5,-49.3
20200105,S37000009,1,All,d,18,13,38.5
20200105,S37000009,2,All,d,58,54.5,6.4
20200105,S37000009,3,All,d,38,19,100
20200105,S37000009,4,All,d,49,56,-12.5
20200105,S37000009,5,All,d,93,110.5,-15.8
20200105,S37000010,1,All,d,20,19,5.3
20200105,S37000010,2,All,d,80,77,3.9
20200105,S37000010,3,All,d,65,45,44.4
20200105,S37000010,4,All,d,48,43.5,10.3
20200105,S37000010,5,All,d,37,30.5,21.3
20200105,S37000011,1,All,d,12,15.5,-22.6
20200105,S37000011,2,All,d,28,25,12
20200105,S37000011,3,All,d,18,22.5,-20
20200105,S37000011,4,All,d,54,54,-0
20200105,S37000011,5,All,d,87,86,1.2
20200105,S37000012,1,All,d,196,167.5,17
20200105,S37000012,2,All,d,169,171,-1.2
20200105,S37000012,3,All,d,142,110.5,28.5
20200105,S37000012,4,All,d,167,155.5,7.4
20200105,S37000012,5,All,d,354,301,17.6
20200105,S37000013,1,All,d,100,133.5,-25.1
20200105,S37000013,2,All,d,126,172.5,-27
20200105,S37000013,3,All,d,103,161,-36
20200105,S37000013,4,All,d,67,78,-14.1
20200105,S37000013,5,All,d,58,67,-13.4
20200105,S37000016,1,All,d,74,86,-14
20200105,S37000016,2,All,d,112,121.5,-7.8
20200105,S37000016,3,All,d,221,195,13.3
20200105,S37000016,4,All,d,197,154,27.9
20200105,S37000016,5,All,d,34,42.5,-20
20200105,S37000017,1,All,d,116,132,-12.1
20200105,S37000017,2,All,d,26,33.5,-22.4
20200105,S37000017,3,All,d,47,40.5,16
20200105,S37000017,4,All,d,24,25.5,-5.9
20200105,S37000017,5,All,d,25,24.5,2
20200105,S37000018,1,All,d,21,29,-27.6
20200105,S37000018,2,All,d,97,85.5,13.5
20200105,S37000018,3,All,d,63,42.5,48.2
20200105,S37000018,4,All,d,29,31,-6.5
20200105,S37000018,5,All,d,12,18.5,-35.1
20200105,S37000019,1,All,d,11,6,83.3
20200105,S37000019,2,All,d,34,31.5,7.9
20200105,S37000019,3,All,d,75,68.5,9.5
20200105,S37000019,4,All,d,69,65,6.2
20200105,S37000019,5,All,d,27,18,50
20200105,S37000020,1,All,d,180,210,-14.3
20200105,S37000020,2,All,d,73,84,-13.1
20200105,S37000020,3,All,d,59,50,18
20200105,S37000020,4,All,d,39,45.5,-14.3
20200105,S37000020,5,All,d,27,35.5,-23.9
20200105,S37000022,3,All,d,13,9,44.4
20200105,S37000022,4,All,d,28,29,-3.4
20200105,S37000024,1,All,d,136,131,3.8
20200105,S37000024,2,All,d,121,123,-1.6
20200105,S37000024,3,All,d,72,80,-10
20200105,S37000024,4,All,d,46,44.5,3.4
20200105,S37000024,5,All,d,85,72,18.1
20200105,S37000025,1,All,d,21,27.5,-23.6
20200105,S37000025,2,All,d,64,56.5,13.3
20200105,S37000025,3,All,d,109,120.5,-9.5
20200105,S37000025,4,All,d,90,80.5,11.8
20200105,S37000025,5,All,d,12,17,-29.4
20200105,S37000026,3,All,d,10,19.5,-48.7
20200105,S37000026,4,All,d,22,23,-4.3
20200105,S37000027,1,All,d,76,80,-5
20200105,S37000027,2,All,d,92,110.5,-16.7
20200105,S37000027,3,All,d,67,72.5,-7.6
20200105,S37000027,4,All,d,47,50,-6
20200105,S37000027,5,All,d,54,69,-21.7
20200105,S37000028,1,All,d,208,242.5,-14.2
20200105,S37000028,2,All,d,234,255,-8.2
20200105,S37000028,3,All,d,183,179,2.2
20200105,S37000028,4,All,d,119,128,-7
20200105,S37000028,5,All,d,94,112,-16.1
20200105,S37000029,1,All,d,119,131.5,-9.5
20200105,S37000029,2,All,d,77,75.5,2
20200105,S37000029,3,All,d,44,41.5,6
20200105,S37000029,4,All,d,16,24,-33.3
20200105,S37000029,5,All,d,12,7.5,60
20200105,S37000030,1,All,d,92,92,-0
20200105,S37000030,2,All,d,180,142.5,26.3
20200105,S37000030,3,All,d,105,80.5,30.4
20200105,S37000030,4,All,d,82,72.5,13.1
20200105,S37000030,5,All,d,48,44,9.1
20200105,S37000031,2,All,d,10,20,-50
20200105,S37000031,3,All,d,73,77.5,-5.8
20200105,S37000032,1,All,d,262,275,-4.7
20200105,S37000032,2,All,d,254,249.5,1.8
20200105,S37000032,3,All,d,199,199,-0
20200105,S37000032,4,All,d,182,184.5,-1.4
20200105,S37000032,5,All,d,128,141,-9.2
20200105,S37000033,1,All,d,26,29.5,-11.9
20200105,S37000033,2,All,d,53,60.5,-12.4
20200105,S37000033,3,All,d,74,84,-11.9
20200105,S37000033,4,All,d,144,116,24.1
20200105,S37000033,5,All,d,82,80,2.5
20200105,S37000034,1,All,d,924,998.5,-7.5
20200105,S37000034,2,All,d,313,298,5
20200105,S37000034,3,All,d,167,170.5,-2.1
20200105,S37000034,4,All,d,120,149.5,-19.7
20200105,S37000034,5,All,d,105,109.5,-4.1
20200105,S37000035,1,All,d,433,400.5,8.1
20200105,S37000035,2,All,d,309,306,1
20200105,S37000035,3,All,d,143,156,-8.3
20200105,S37000035,4,All,d,124,124,-0
