WeekEnding,Country,AgeGroup,CardioAdmissions,Average20182019,PercentVariation
20200105,S92000003,65 and over,204,232.5,-12.3
20200105,S92000003,Under 65,185,210,-11.9
20200112,S92000003,65 and over,207,223,-7.2
20200112,S92000003,Under 65,206,224,-8
20200119,S92000003,65 and over,201,204,-1.5
20200119,S92000003,Under 65,179,220.5,-18.8
20200126,S92000003,65 and over,193,210.5,-8.3
20200126,S92000003,Under 65,170,224.5,-24.3
20200202,S92000003,65 and over,193,237.5,-18.7
20200202,S92000003,Under 65,180,225,-20
20200209,S92000003,65 and over,172,220,-21.8
20200209,S92000003,Under 65,145,209,-30.6
20200216,S92000003,65 and over,148,229.5,-35.5
20200216,S92000003,Under 65,161,234.5,-31.3
20200223,S92000003,65 and over,165,206.5,-20.1
20200223,S92000003,Under 65,189,216,-12.5
20200301,S92000003,65 and over,186,225,-17.3
20200301,S92000003,Under 65,184,225.5,-18.4
20200308,S92000003,65 and over,175,226.5,-22.7
20200308,S92000003,Under 65,188,232.5,-19.1
20200315,S92000003,65 and over,130,212.5,-38.8
20200315,S92000003,Under 65,159,225.5,-29.5
20200322,S92000003,65 and over,107,227.5,-53
20200322,S92000003,Under 65,110,207,-46.9
20200329,S92000003,65 and over,74,199.5,-62.9
20200329,S92000003,Under 65,92,212.5,-56.7
20200405,S92000003,65 and over,92,221.5,-58.5
20200405,S92000003,Under 65,104,211,-50.7
20200412,S92000003,65 and over,81,225.5,-64.1
20200412,S92000003,Under 65,107,220.5,-51.5
20200419,S92000003,65 and over,106,205,-48.3
20200419,S92000003,Under 65,120,232.5,-48.4
20200426,S92000003,65 and over,116,226,-48.7
20200426,S92000003,Under 65,151,213.5,-29.3
20200503,S92000003,65 and over,151,190,-20.5
20200503,S92000003,Under 65,159,205,-22.4
20200510,S92000003,65 and over,137,207,-33.8
20200510,S92000003,Under 65,155,238,-34.9
20200517,S92000003,65 and over,144,195.5,-26.3
20200517,S92000003,Under 65,162,211,-23.2
20200524,S92000003,65 and over,134,200,-33
20200524,S92000003,Under 65,165,215.5,-23.4
20200531,S92000003,65 and over,148,192.5,-23.1
20200531,S92000003,Under 65,148,206,-28.2
20200607,S92000003,65 and over,143,185,-22.7
20200607,S92000003,Under 65,137,212.5,-35.5
20200614,S92000003,65 and over,143,199,-28.1
20200614,S92000003,Under 65,167,203.5,-17.9
20200621,S92000003,65 and over,147,186,-21
20200621,S92000003,Under 65,191,182,4.9
20200628,S92000003,65 and over,141,198,-28.8
20200628,S92000003,Under 65,189,178,6.2
20200705,S92000003,65 and over,154,200,-23
20200705,S92000003,Under 65,161,201,-19.9
20200712,S92000003,65 and over,131,198.5,-34
20200712,S92000003,Under 65,127,194,-34.5
20200719,S92000003,65 and over,153,194.5,-21.3
20200719,S92000003,Under 65,174,202,-13.9
20200726,S92000003,65 and over,152,200.5,-24.2
20200726,S92000003,Under 65,182,200.5,-9.2
20200802,S92000003,65 and over,170,200.5,-15.2
20200802,S92000003,Under 65,188,187.5,0.3
20200809,S92000003,65 and over,159,207.5,-23.4
20200809,S92000003,Under 65,170,210,-19
20200816,S92000003,65 and over,166,215.5,-23
20200816,S92000003,Under 65,172,253,-32
20200823,S92000003,65 and over,181,234,-22.6
20200823,S92000003,Under 65,169,221.5,-23.7
20200830,S92000003,65 and over,164,204.5,-19.8
20200830,S92000003,Under 65,163,197,-17.3
20200906,S92000003,65 and over,169,193,-12.4
20200906,S92000003,Under 65,187,225.5,-17.1
20200913,S92000003,65 and over,179,200.5,-10.7
20200913,S92000003,Under 65,183,229,-20.1
20200920,S92000003,65 and over,150,228,-34.2
20200920,S92000003,Under 65,165,240,-31.2
20200927,S92000003,65 and over,164,198,-17.2
20200927,S92000003,Under 65,158,218,-27.5
20201004,S92000003,65 and over,129,212.5,-39.3
20201004,S92000003,Under 65,176,210.5,-16.4
20201011,S92000003,65 and over,166,222,-25.2
20201011,S92000003,Under 65,171,208,-17.8
20201018,S92000003,65 and over,145,209.5,-30.8
20201018,S92000003,Under 65,176,201.5,-12.7
20201025,S92000003,65 and over,172,199.5,-13.8
20201025,S92000003,Under 65,177,208,-14.9
20201101,S92000003,65 and over,149,204.5,-27.1
20201101,S92000003,Under 65,159,214.5,-25.9
20201108,S92000003,65 and over,159,230.5,-31
20201108,S92000003,Under 65,147,240,-38.8
20201115,S92000003,65 and over,162,187.5,-13.6
20201115,S92000003,Under 65,170,230.5,-26.2
20201122,S92000003,65 and over,151,202.5,-25.4
20201122,S92000003,Under 65,173,203.5,-15
20201129,S92000003,65 and over,148,216.5,-31.6
20201129,S92000003,Under 65,156,218,-28.4
20201206,S92000003,65 and over,161,219.5,-26.7
20201206,S92000003,Under 65,151,208,-27.4
20201213,S92000003,65 and over,161,222,-27.5
20201213,S92000003,Under 65,192,215.5,-10.9
20201220,S92000003,65 and over,174,215.5,-19.3
20201220,S92000003,Under 65,156,200.5,-22.2
20201227,S92000003,65 and over,140,234.5,-40.3
20201227,S92000003,Under 65,162,182,-11
20210103,S92000003,65 and over,135,234.5,-42.4
20210103,S92000003,Under 65,171,182,-6
20210110,S92000003,65 and over,134,232.5,-42.4
20210110,S92000003,Under 65,158,210,-24.8
20210117,S92000003,65 and over,129,223,-42.2
20210117,S92000003,Under 65,137,224,-38.8
20210124,S92000003,65 and over,133,204,-34.8
20210124,S92000003,Under 65,155,220.5,-29.7
20210131,S92000003,65 and over,148,210.5,-29.7
20210131,S92000003,Under 65,159,224.5,-29.2
20210207,S92000003,65 and over,122,237.5,-48.6
20210207,S92000003,Under 65,194,225,-13.8
20210214,S92000003,65 and over,138,220,-37.3
20210214,S92000003,Under 65,148,209,-29.2
20210221,S92000003,65 and over,174,229.5,-24.2
20210221,S92000003,Under 65,167,234.5,-28.8
20210228,S92000003,65 and over,143,206.5,-30.8
