WeekEnding,Country,SIMDQuintile,CardioAdmissions,Average20182019,PercentVariation
20200105,S92000003,1,96,107.5,-10.7
20200105,S92000003,2,86,99,-13.1
20200105,S92000003,3,84,86.5,-2.9
20200105,S92000003,4,78,82.5,-5.5
20200105,S92000003,5,41,62.5,-34.4
20200112,S92000003,1,98,119.5,-18
20200112,S92000003,2,83,95,-12.6
20200112,S92000003,3,78,93,-16.1
20200112,S92000003,4,80,66,21.2
20200112,S92000003,5,72,67.5,6.7
20200119,S92000003,1,93,110,-15.5
20200119,S92000003,2,74,90.5,-18.2
20200119,S92000003,3,91,80.5,13
20200119,S92000003,4,74,83,-10.8
20200119,S92000003,5,45,55.5,-18.9
20200126,S92000003,1,92,117,-21.4
20200126,S92000003,2,81,91,-11
20200126,S92000003,3,67,86.5,-22.5
20200126,S92000003,4,64,86,-25.6
20200126,S92000003,5,56,53,5.7
20200202,S92000003,1,100,115,-13
20200202,S92000003,2,66,108.5,-39.2
20200202,S92000003,3,77,83,-7.2
20200202,S92000003,4,77,91,-15.4
20200202,S92000003,5,48,62,-22.6
20200209,S92000003,1,49,119.5,-59
20200209,S92000003,2,64,86,-25.6
20200209,S92000003,3,78,79.5,-1.9
20200209,S92000003,4,70,80,-12.5
20200209,S92000003,5,54,62,-12.9
20200216,S92000003,1,74,117,-36.8
20200216,S92000003,2,62,98,-36.7
20200216,S92000003,3,68,93.5,-27.3
20200216,S92000003,4,71,87,-18.4
20200216,S92000003,5,30,65.5,-54.2
20200223,S92000003,1,74,107.5,-31.2
20200223,S92000003,2,75,87.5,-14.3
20200223,S92000003,3,77,79,-2.5
20200223,S92000003,4,73,85.5,-14.6
20200223,S92000003,5,53,61.5,-13.8
20200301,S92000003,1,82,106.5,-23
20200301,S92000003,2,76,85.5,-11.1
20200301,S92000003,3,73,86.5,-15.6
20200301,S92000003,4,64,101.5,-36.9
20200301,S92000003,5,69,69.5,-0.7
20200308,S92000003,1,105,111,-5.4
20200308,S92000003,2,76,95,-20
20200308,S92000003,3,76,100.5,-24.4
20200308,S92000003,4,64,87,-26.4
20200308,S92000003,5,38,63.5,-40.2
20200315,S92000003,1,71,100.5,-29.4
20200315,S92000003,2,57,85,-32.9
20200315,S92000003,3,67,93,-28
20200315,S92000003,4,59,88.5,-33.3
20200315,S92000003,5,32,66.5,-51.9
20200322,S92000003,1,49,118,-58.5
20200322,S92000003,2,46,91.5,-49.7
20200322,S92000003,3,42,88,-52.3
20200322,S92000003,4,46,83,-44.6
20200322,S92000003,5,31,52,-40.4
20200329,S92000003,1,42,100,-58
20200329,S92000003,2,39,80,-51.2
20200329,S92000003,3,33,85,-61.2
20200329,S92000003,4,29,84.5,-65.7
20200329,S92000003,5,21,59.5,-64.7
20200405,S92000003,1,56,130,-56.9
20200405,S92000003,2,28,85.5,-67.3
20200405,S92000003,3,43,80,-46.2
20200405,S92000003,4,45,78,-42.3
20200405,S92000003,5,24,54,-55.6
20200412,S92000003,1,37,110,-66.4
20200412,S92000003,2,40,88.5,-54.8
20200412,S92000003,3,39,90,-56.7
20200412,S92000003,4,45,90,-50
20200412,S92000003,5,27,65,-58.5
20200419,S92000003,1,60,119.5,-49.8
20200419,S92000003,2,46,89,-48.3
20200419,S92000003,3,42,88.5,-52.5
20200419,S92000003,4,44,78,-43.6
20200419,S92000003,5,34,57.5,-40.9
20200426,S92000003,1,68,103,-34
20200426,S92000003,2,56,92.5,-39.5
20200426,S92000003,3,45,93,-51.6
20200426,S92000003,4,61,89,-31.5
20200426,S92000003,5,30,59,-49.2
20200503,S92000003,1,69,107.5,-35.8
20200503,S92000003,2,59,85,-30.6
20200503,S92000003,3,65,71.5,-9.1
20200503,S92000003,4,70,72,-2.8
20200503,S92000003,5,45,52.5,-14.3
20200510,S92000003,1,61,109.5,-44.3
20200510,S92000003,2,62,95.5,-35.1
20200510,S92000003,3,67,87.5,-23.4
20200510,S92000003,4,56,81.5,-31.3
20200510,S92000003,5,43,64.5,-33.3
20200517,S92000003,1,67,111,-39.6
20200517,S92000003,2,59,76.5,-22.9
20200517,S92000003,3,64,79.5,-19.5
20200517,S92000003,4,71,74.5,-4.7
20200517,S92000003,5,40,61.5,-35
20200524,S92000003,1,77,106,-27.4
20200524,S92000003,2,65,76.5,-15
20200524,S92000003,3,49,87,-43.7
20200524,S92000003,4,66,84,-21.4
20200524,S92000003,5,39,60,-35
20200531,S92000003,1,60,104.5,-42.6
20200531,S92000003,2,55,79.5,-30.8
20200531,S92000003,3,70,82,-14.6
20200531,S92000003,4,73,69,5.8
20200531,S92000003,5,38,59,-35.6
20200607,S92000003,1,81,103.5,-21.7
20200607,S92000003,2,52,79.5,-34.6
20200607,S92000003,3,49,81,-39.5
20200607,S92000003,4,56,71.5,-21.7
20200607,S92000003,5,39,58.5,-33.3
20200614,S92000003,1,63,97,-35.1
20200614,S92000003,2,65,73,-11
20200614,S92000003,3,66,84,-21.4
20200614,S92000003,4,65,77.5,-16.1
20200614,S92000003,5,48,63.5,-24.4
20200621,S92000003,1,71,86,-17.4
20200621,S92000003,2,67,81,-17.3
20200621,S92000003,3,78,76,2.6
20200621,S92000003,4,76,74.5,2
20200621,S92000003,5,41,46.5,-11.8
20200628,S92000003,1,75,84,-10.7
20200628,S92000003,2,73,88,-17
20200628,S92000003,3,78,75,4
20200628,S92000003,4,65,67,-3
20200628,S92000003,5,36,59.5,-39.5
20200705,S92000003,1,81,98.5,-17.8
20200705,S92000003,2,68,88.5,-23.2
20200705,S92000003,3,69,76.5,-9.8
20200705,S92000003,4,54,76,-28.9
20200705,S92000003,5,39,54.5,-28.4
20200712,S92000003,1,58,100.5,-42.3
20200712,S92000003,2,46,90.5,-49.2
20200712,S92000003,3,56,71,-21.1
20200712,S92000003,4,57,79.5,-28.3
20200712,S92000003,5,39,45,-13.3
20200719,S92000003,1,80,108.5,-26.3
20200719,S92000003,2,65,79.5,-18.2
20200719,S92000003,3,55,75.5,-27.2
20200719,S92000003,4,69,70.5,-2.1
20200719,S92000003,5,54,55.5,-2.7
20200726,S92000003,1,83,96.5,-14
20200726,S92000003,2,66,84.5,-21.9
20200726,S92000003,3,67,90.5,-26
20200726,S92000003,4,73,76.5,-4.6
20200726,S92000003,5,42,52,-19.2
20200802,S92000003,1,70,96,-27.1
20200802,S92000003,2,81,85,-4.7
20200802,S92000003,3,86,80,7.5
20200802,S92000003,4,61,79,-22.8
20200802,S92000003,5,58,44.5,30.3
20200809,S92000003,1,74,101,-26.7
20200809,S92000003,2,66,79,-16.5
20200809,S92000003,3,76,83.5,-9
20200809,S92000003,4,59,77.5,-23.9
20200809,S92000003,5,48,63,-23.8
20200816,S92000003,1,84,130.5,-35.6
20200816,S92000003,2,68,87.5,-22.3
20200816,S92000003,3,69,87.5,-21.1
20200816,S92000003,4,71,87,-18.4
20200816,S92000003,5,45,67.5,-33.3
20200823,S92000003,1,76,108,-29.6
20200823,S92000003,2,62,96,-35.4
20200823,S92000003,3,87,96,-9.4
20200823,S92000003,4,70,87,-19.5
20200823,S92000003,5,52,65,-20
20200830,S92000003,1,70,98.5,-28.9
20200830,S92000003,2,70,81,-13.6
20200830,S92000003,3,68,77,-11.7
20200830,S92000003,4,74,82.5,-10.3
20200830,S92000003,5,40,59,-32.2
20200906,S92000003,1,86,100,-14
20200906,S92000003,2,67,88.5,-24.3
20200906,S92000003,3,71,81,-12.3
20200906,S92000003,4,70,79,-11.4
20200906,S92000003,5,62,63.5,-2.4
20200913,S92000003,1,78,114.5,-31.9
20200913,S92000003,2,69,94.5,-27
20200913,S92000003,3,92,81.5,12.9
20200913,S92000003,4,70,75.5,-7.3
20200913,S92000003,5,47,54.5,-13.8
20200920,S92000003,1,74,119.5,-38.1
20200920,S92000003,2,53,97,-45.4
20200920,S92000003,3,56,96.5,-42
20200920,S92000003,4,73,90.5,-19.3
20200920,S92000003,5,53,59,-10.2
20200927,S92000003,1,72,104.5,-31.1
20200927,S92000003,2,65,86.5,-24.9
20200927,S92000003,3,69,70.5,-2.1
20200927,S92000003,4,69,88,-21.6
20200927,S92000003,5,46,64.5,-28.7
20201004,S92000003,1,72,107,-32.7
20201004,S92000003,2,60,87,-31
20201004,S92000003,3,55,80.5,-31.7
20201004,S92000003,4,64,81.5,-21.5
20201004,S92000003,5,48,60,-20
20201011,S92000003,1,78,111.5,-30
20201011,S92000003,2,71,98.5,-27.9
20201011,S92000003,3,75,81.5,-8
20201011,S92000003,4,62,78,-20.5
20201011,S92000003,5,51,53,-3.8
20201018,S92000003,1,63,98.5,-36
20201018,S92000003,2,54,90.5,-40.3
20201018,S92000003,3,72,85,-15.3
20201018,S92000003,4,71,80,-11.2
20201018,S92000003,5,55,53.5,2.8
20201025,S92000003,1,76,110,-30.9
20201025,S92000003,2,60,81,-25.9
20201025,S92000003,3,83,74,12.2
20201025,S92000003,4,73,82.5,-11.5
20201025,S92000003,5,52,58.5,-11.1
20201101,S92000003,1,68,106,-35.8
20201101,S92000003,2,73,84,-13.1
20201101,S92000003,3,61,90.5,-32.6
20201101,S92000003,4,62,78.5,-21
20201101,S92000003,5,39,57.5,-32.2
20201108,S92000003,1,70,128.5,-45.5
20201108,S92000003,2,59,105,-43.8
20201108,S92000003,3,61,88,-30.7
20201108,S92000003,4,66,83.5,-21
20201108,S92000003,5,42,58.5,-28.2
20201115,S92000003,1,81,115,-29.6
20201115,S92000003,2,78,79.5,-1.9
20201115,S92000003,3,70,83.5,-16.2
20201115,S92000003,4,56,76,-26.3
20201115,S92000003,5,40,60.5,-33.9
20201122,S92000003,1,76,95.5,-20.4
20201122,S92000003,2,68,87.5,-22.3
20201122,S92000003,3,56,80,-30
20201122,S92000003,4,73,81,-9.9
20201122,S92000003,5,48,57.5,-16.5
20201129,S92000003,1,66,99,-33.3
20201129,S92000003,2,48,88,-45.5
20201129,S92000003,3,69,91,-24.2
20201129,S92000003,4,64,97,-34
20201129,S92000003,5,53,55.5,-4.5
20201206,S92000003,1,72,102.5,-29.8
20201206,S92000003,2,58,83,-30.1
20201206,S92000003,3,54,84,-35.7
20201206,S92000003,4,71,80.5,-11.8
20201206,S92000003,5,51,72.5,-29.7
20201213,S92000003,1,72,101,-28.7
20201213,S92000003,2,63,87.5,-28
20201213,S92000003,3,80,93.5,-14.4
20201213,S92000003,4,76,93,-18.3
20201213,S92000003,5,56,58.5,-4.3
20201220,S92000003,1,69,102,-32.4
20201220,S92000003,2,63,89.5,-29.6
20201220,S92000003,3,74,80.5,-8.1
20201220,S92000003,4,65,80.5,-19.3
20201220,S92000003,5,56,59,-5.1
20201227,S92000003,1,64,97,-34
20201227,S92000003,2,62,91.5,-32.2
20201227,S92000003,3,71,87.5,-18.9
20201227,S92000003,4,59,75.5,-21.9
20201227,S92000003,5,41,62.5,-34.4
20210103,S92000003,1,65,97,-33
20210103,S92000003,2,59,91.5,-35.5
20210103,S92000003,3,66,87.5,-24.6
20210103,S92000003,4,64,75.5,-15.2
20210103,S92000003,5,46,62.5,-26.4
20210110,S92000003,1,72,107.5,-33
20210110,S92000003,2,57,99,-42.4
20210110,S92000003,3,50,86.5,-42.2
20210110,S92000003,4,64,82.5,-22.4
20210110,S92000003,5,47,62.5,-24.8
20210117,S92000003,1,64,119.5,-46.4
20210117,S92000003,2,57,95,-40
20210117,S92000003,3,56,93,-39.8
20210117,S92000003,4,57,66,-13.6
20210117,S92000003,5,28,67.5,-58.5
20210124,S92000003,1,78,110,-29.1
20210124,S92000003,2,37,90.5,-59.1
20210124,S92000003,3,72,80.5,-10.6
20210124,S92000003,4,64,83,-22.9
20210124,S92000003,5,30,55.5,-45.9
20210131,S92000003,1,75,117,-35.9
20210131,S92000003,2,64,91,-29.7
20210131,S92000003,3,70,86.5,-19.1
20210131,S92000003,4,59,86,-31.4
20210131,S92000003,5,39,53,-26.4
20210207,S92000003,1,63,115,-45.2
20210207,S92000003,2,61,108.5,-43.8
20210207,S92000003,3,68,83,-18.1
20210207,S92000003,4,83,91,-8.8
20210207,S92000003,5,33,62,-46.8
20210214,S92000003,1,75,119.5,-37.2
20210214,S92000003,2,57,86,-33.7
20210214,S92000003,3,55,79.5,-30.8
20210214,S92000003,4,55,80,-31.2
