Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,477,1383,2.89937106918239,,511,1949,3.81409001956947,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,418,1100,2.63157894736842,,435,1320,3.03448275862069,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,462,1348,2.91774891774892,,484,1676,3.46280991735537,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,398,1016,2.55276381909548,,425,1425,3.35294117647059,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,430,1048,2.43720930232558,,459,1411,3.07407407407407,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,425,906,2.13176470588235,,446,1365,3.06053811659193,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,432,1007,2.33101851851852,,457,1368,2.99343544857768,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,379,1176,3.10290237467018,,411,1468,3.57177615571776,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,359,991,2.76044568245125,,383,1368,3.57180156657963,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,321,874,2.72274143302181,,349,1164,3.3352435530086,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,87,204,2.3448275862069,,94,469,4.98936170212766,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,212,752,3.54716981132075,,224,893,3.98660714285714,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,199,451,2.26633165829146,,209,748,3.57894736842105,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,96,328,3.41666666666667,,104,600,5.76923076923077,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,211,575,2.72511848341232,,224,794,3.54464285714286,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,152,450,2.96052631578947,,179,831,4.64245810055866,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,222,656,2.95495495495495,,232,931,4.01293103448276,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,180,662,3.67777777777778,,192,841,4.38020833333333,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,224,724,3.23214285714286,,238,899,3.77731092436975,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,288,927,3.21875,,307,1272,4.14332247557003,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,1,,264,777,2.94318181818182,,290,1060,3.6551724137931,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,342,1116,3.26315789473684,,355,1465,4.12676056338028,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,303,931,3.07260726072607,,319,1087,3.40752351097179,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,349,1052,3.01432664756447,,370,1411,3.81351351351351,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,347,924,2.6628242074928,,372,1127,3.02956989247312,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,337,1302,3.86350148367953,,352,1772,5.03409090909091,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,402,927,2.30597014925373,,421,1258,2.98812351543943,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,354,873,2.46610169491525,,368,1188,3.22826086956522,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,339,879,2.5929203539823,,362,1086,3,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,326,920,2.82208588957055,,342,1169,3.41812865497076,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,267,692,2.59176029962547,,283,1195,4.2226148409894,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,70,267,3.81428571428571,,69,281,4.07246376811594,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,188,708,3.76595744680851,,200,949,4.745,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,173,551,3.1849710982659,,182,653,3.58791208791209,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,83,352,4.24096385542169,,86,486,5.65116279069767,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,188,551,2.93085106382979,,202,746,3.69306930693069,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,132,417,3.15909090909091,,141,633,4.48936170212766,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,165,526,3.18787878787879,,171,743,4.34502923976608,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,130,453,3.48461538461538,,141,644,4.56737588652482,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,192,490,2.55208333333333,,199,914,4.5929648241206,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,213,461,2.16431924882629,,229,726,3.1703056768559,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,2,,223,651,2.91928251121076,,232,813,3.50431034482759,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,261,675,2.58620689655172,,278,906,3.2589928057554,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,242,805,3.32644628099174,,258,1105,4.28294573643411,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,238,527,2.21428571428571,,246,651,2.64634146341463,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,247,648,2.62348178137652,,260,865,3.32692307692308,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,302,729,2.41390728476821,,319,956,2.99686520376176,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,290,545,1.87931034482759,,294,706,2.40136054421769,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,297,749,2.52188552188552,,309,1067,3.45307443365696,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,259,766,2.95752895752896,,269,863,3.20817843866171,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,241,664,2.7551867219917,,253,901,3.56126482213439,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,247,740,2.99595141700405,,254,1032,4.06299212598425,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,68,157,2.30882352941176,,69,185,2.68115942028985,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,145,522,3.6,,147,533,3.62585034013605,
