location,hb,total_occupied_beddays,all_staffed_beddays,percentage_occupancy,location_name,longitude,latitude
A101H,S08000015,2064,2706,76.27494456762749,Arran War Memorial Hospital,-5.115521458311502,55.54311962497462
A111H,S08000015,213169,232064,91.85784955874242,University Hospital Crosshouse,-4.539412042256777,55.61394328791841
A210H,S08000015,112099,117543,95.36850344129383,University Hospital Ayr,-4.595558414766277,55.43032913030746
B120H,S08000016,84304,93985,89.69942012023195,Borders General Hospital,-2.7419408092081268,55.595478477570325
C121H,S08000022,14283,17292,82.59888965995836,Lorn & Islands Hospital,-5.474938612814968,56.400418469365846
C206H,S08000031,32001,35020,91.37921187892633,Vale of Leven General Hospital,-4.591824633964343,55.993085874084024
C313H,S08000031,104709,112600,92.99200710479573,Inverclyde Royal Hospital,-4.8098450049821215,55.94430786843811
C418H,S08000031,217971,239737,90.92088413553185,Royal Alexandra Hospital,-4.43782149024335,55.83522081606429
D102H,SB0801,53304,68920,77.34184561810795,Golden Jubilee National Hospital,-4.425411171770315,55.90646125639316
F704H,S08000029,169021,218602,77.31905472045086,Victoria Hospital,-3.1601364305739432,56.12511416499539
F805H,S08000029,52785,65127,81.04933437744715,Queen Margaret Hospital,-3.4269630081736886,56.08230669101091
G107H,S08000031,315897,347062,91.0203364240395,Glasgow Royal Infirmary,-4.23566038415277,55.86402957354226
G207H,S08000031,65478,79188,82.68677072283678,Stobhill Hospital,-4.219855618008921,55.8928955709958
G306H,S08000031,21880,22068,99.14808772883814,New Victoria Hospital,-4.265322788141168,55.828615429737766
G405H,S08000031,531076,573118,92.66433788504287,Queen Elizabeth University Hospital,-4.338118360226516,55.862646105273306
G516H,S08000031,114131,133079,85.76184071115654,West Glasgow,-4.312732212533992,55.883222226648314
H103H,S08000022,14563,15760,92.40482233502539,Caithness General Hospital,-3.0957387444406437,58.44136111453996
H202H,S08000022,151537,169809,89.23967516444947,Raigmore Hospital,-4.1924715056755995,57.47382321577746
H212H,S08000022,11153,12311,90.59377792218342,Belford Hospital,-5.10471488607709,56.81942653150559
L106H,S08000032,139937,156729,89.28596494586196,University Hospital Monklands,-3.999598050590599,55.86588208286804
L302H,S08000032,156992,176355,89.02044172266169,University Hospital Hairmyres,-4.22199921257863,55.759932880491355
L308H,S08000032,196560,222140,88.48473935356081,University Hospital Wishaw,-3.941748630015671,55.77369599804519
N101H,S08000020,226846,248621,91.24168915739219,Aberdeen Royal Infirmary,-2.1373591839176496,57.15427511227378
N411H,S08000020,40864,48185,84.80647504410086,Dr Gray's Hospital,-3.331951454250245,57.64562915103534
R103H,S08000025,12444,15833,78.59533884923893,The Balfour,-2.965444871430934,58.97370185705815
S08000015,S08000015,447634,492797,90.8353744036591,NA,NA,NA
S08000016,S08000016,109884,123203,89.189386622079,NA,NA,NA
S08000017,S08000017,168452,223770,75.27908119944587,NA,NA,NA
S08000019,S08000019,294039,396243,74.20673677516069,NA,NA,NA
S08000020,S08000020,476010,535685,88.86005768315334,NA,NA,NA
S08000022,S08000022,275852,317013,87.01598988054118,NA,NA,NA
S08000024,S08000024,913486,1061024,86.09475374732334,NA,NA,NA
S08000025,S08000025,12444,15833,78.59533884923893,NA,NA,NA
S08000026,S08000026,11406,21582,52.84959688629414,NA,NA,NA
S08000028,S08000028,23065,35853,64.33213399157671,NA,NA,NA
S08000029,S08000029,329954,419640,78.6278715089124,NA,NA,NA
S08000030,S08000030,456660,588796,77.55827145564848,NA,NA,NA
S08000031,S08000031,1676469,1905531,87.9790987394065,NA,NA,NA
S08000032,S08000032,566286,671892,84.28229536889857,NA,NA,NA
S116H,S08000024,200640,216816,92.53929599291565,Western General Hospital,-3.234907125328908,55.96180739509553
S308H,S08000024,118998,144012,82.63061411549037,St John's Hospital,-3.5193896478254487,55.89296735563805
S314H,S08000024,338454,377467,89.66452696527114,Royal Infirmary of Edinburgh at Little France,-3.1581504026102967,55.90997885008648
S92000003,S92000003,5814945,6877782,84.54680593249394,NA,NA,NA
SB0801,SB0801,53304,68920,77.34184561810795,NA,NA,NA
T101H,S08000030,239693,315073,76.07538570426536,Ninewells Hospital,-2.9914097371952924,56.46168490165827
T202H,S08000030,66210,85717,77.24255398579045,Perth Royal Infirmary,-3.452965269968983,56.396340658473946
T312H,S08000030,7159,12510,57.22621902478018,Stracathro Hospital,-2.613720373467968,56.77494037660813
V217H,S08000019,227887,291351,78.21733922313635,Forth Valley Royal Hospital,-3.848009671312537,56.02512061113521
W107H,S08000028,19747,30549,64.64041376149791,Western Isles Hospital,-6.383596732532542,58.22111585437035
Y144H,S08000017,11548,13787,83.760063828244,Galloway Community Hospital,-5.021758051825584,54.89920990341152
Y146H,S08000017,112866,141799,79.5957658375588,Dumfries & Galloway Royal Infirmary,-3.659026815491533,55.058888341509864
Z102H,S08000026,11406,21582,52.84959688629414,Gilbert Bain Hospital,-1.1556642382162836,60.151058275581285
